abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
G6Ptex	glucose 6-phosphate transport via diffusion (extracellular to periplasm)	g6p[e] <==> g6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GAL1Ptex	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	gal1p[e] <==> gal1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	galctn-D[e] <==> galctn-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	galct-D[e] <==> galct-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	galur[e] <==> galur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GAMAN6Ptex	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)	gam6p[e] <==> gam6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GAMtex	D-glucosamine transport via diffusion (extracellular to periplasm)	gam[e] <==> gam[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GBBTNtex	gamma-butyrobetaine transport via diffusion (extracellular to periplasm)	gbbtn[e] <==> gbbtn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GDPtex	GDP transport via diffusion (extracellular to periplasm)	gdp[e] <==> gdp[p]	( b0241  or  b1377  or  b2215  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	glcn[e] <==> glcn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLCRtex	D-glucarate transport via diffusion (extracellular to periplasm)	glcr[e] <==> glcr[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLCUR1Ptex	D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm)	glcur1p[e] <==> glcur1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLCURtex	D-glucuronat transport via diffusion (extracellular to periplasm)	glcur[e] <==> glcur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	gln-L[e] <==> gln-L[p]	( b0929  or  b1377  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	glu-L[e] <==> glu-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYALDtex	Glyceraldehyde transport via diffusion (extracellular to periplasm)	glyald[e] <==> glyald[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYBtex	Glycine betaine transport via diffusion (extracellular to periplasm)	glyb[e] <==> glyb[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYC2Ptex	Glycerol-2-phosphate transport via diffusion (extracellular to periplasm)	glyc2p[e] <==> glyc2p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYC3Ptex	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)	glyc3p[e] <==> glyc3p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYCAtex	D-glycerate transport via diffusion (extracellular to periplasm)	glyc-R[e] <==> glyc-R[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYCLTtex	glycolate transport via diffusion (extracellular to periplasm)	glyclt[e] <==> glyclt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GLYtex	Glycine transport via diffusion (extracellular to periplasm)	gly[e] <==> gly[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GMPtex	GMP transport via diffusion (extracellular to periplasm)	gmp[e] <==> gmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GSNtex	guanosine transport via diffusion (extracellular to periplasm)	gsn[e] <==> gsn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GTHOXtex	glutathione (ox) transport via diffusion (extracellular to periplasm)	gthox[e] <==> gthox[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GTHRDtex	glutathione transport via diffusion (extracellular to periplasm)	gthrd[e] <==> gthrd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
GTPtex	GTP transport via diffusion (extracellular to periplasm)	gtp[e] <==> gtp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
H2O2tex	hydrogen peroxide transport via diffusion (external)	h2o2[e] <==> h2o2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
H2Otex	H2O transport via diffusion (extracellular to periplasm)	h2o[e] <==> h2o[p]	( b1377  or  b0929  or  b2215  or  b0241  or  b3875  or  b1319  or  b0957  or  s0001 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
H2St1pp	h2s transport (periplasm)	h2s[c] --> h2s[p]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
H2Stex	h2s transport via diffusion (extracellular to periplasm)	h2s[e] <==> h2s[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
H2tex	hydrogen transport via diffusion (extracellular to periplasm)	h2[e] <==> h2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
H2tpp	hydrogen transport diffusion (periplasm)	h2[p] <==> h2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
HG2tex	mercury (Hg+2) transport via diffusion (extracellular to periplasm)	hg2[e] <==> hg2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	his-L[e] <==> his-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
HOMtex	L-homoserine transport via diffusion (extracellular to periplasm)	hom-L[e] <==> hom-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	3hpppn[e] <==> 3hpppn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	hxa[e] <==> hxa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	hxan[e] <==> hxan[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	idon-L[e] <==> idon-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	ile-L[e] <==> ile-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
IMPtex	IMP transport via diffusion (extracellular to periplasm)	imp[e] <==> imp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	indole[e] <==> indole[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
INSTtex	inositol transport via diffusion (extracellular to periplasm)	inost[e] <==> inost[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
ISETACtex	isethionate transport via diffusion (extracellular to periplasm)	isetac[e] <==> isetac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
Ktex	potassium transport via diffusion (extracellular to periplasm)	k[e] <==> k[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	leu-L[e] <==> leu-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
L-LACtex	L-lactate transport via diffusion (extracellular to periplasm)	lac-L[e] <==> lac-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
LYStex	L-lysine transport via diffusion (extracellular to periplasm)	lys-L[e] <==> lys-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MALDtex	D-Malate transport via diffusion (extracellular to periplasm)	mal-D[e] <==> mal-D[p]	( b1377  or  b0929  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MALtex	Malate transport via diffusion (extracellular to periplasm)	mal-L[e] <==> mal-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MAN6Ptex	Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	man6p[e] <==> man6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MANGLYCtex	2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm)	manglyc[e] <==> manglyc[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
METDtex	D-methionine transport via diffusion (extracellular to periplasm)	met-D[e] <==> met-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
METSOX1tex	L-methionine S-oxide diffusion (extracellular)	metsox-S-L[e] <==> metsox-S-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
METtex	L-methionine transport via diffusion (extracellular to periplasm)	met-L[e] <==> met-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MG2tex	magnesium (Mg+2) transport via diffusion (extracellular to periplasm)	mg2[e] <==> mg2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MMETtex	S-methyl-L-methionine transport via diffusion (extracellular to periplasm)	mmet[e] <==> mmet[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MNLtex	mannitol transport via diffusion (extracellular to periplasm)	mnl[e] <==> mnl[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MNtex	Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	mn2[e] <==> mn2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MOBDtex	molybdate transport via diffusion (extracellular to periplasm)	mobd[e] <==> mobd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
MSO3tex	methanesulfonate transport via diffusion (extracellular to periplasm)	mso3[e] <==> mso3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
N2Otex	nitrious oxide transport via diffusion (extracellular to periplasm)	n2o[e] <==> n2o[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
N2Otpp	nitrious oxide transport (diffusion)	n2o[p] <==> n2o[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
NACtex	Nicotinic acid transport via diffusion (extracellular to periplasm)	nac[e] <==> nac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NAtex	sodium transport via diffusion (extracellular to periplasm)	na1[e] <==> na1[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NH4tex	ammonia transport via diffusion (extracellular to periplasm)	nh4[e] <==> nh4[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NI2tex	nickel transport via diffusion (extracellular to periplasm)	ni2[e] <==> ni2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NMNtex	NMN transport via diffusion (extracellular to periplasm)	nmn[e] <==> nmn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NO2tex	nitrite transport via diffusion (extracellular to periplasm)	no2[e] <==> no2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NO3tex	nitrate transport via diffusion (extracellular to periplasm)	no3[e] <==> no3[p]	( b0241  or  b0929  or  b2215  or  b1377 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NOtex	nitric oxide transport via diffusion (extracellular to periplasm)	no[e] <==> no[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
NOtpp	NO transport (diffusion)	no[p] <==> no[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
O2Stex	superoxide anion transport via diffusion (extracellular to periplasm)	o2s[e] <==> o2s[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
O2tex	oxygen transport via diffusion (extracellular to periplasm)	o2[e] <==> o2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
O2tpp	o2 transport via diffusion (periplasm)	o2[p] <==> o2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
OCTAtex	Octanoate transport via diffusion (extracellular to periplasm)	octa[e] <==> octa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
ORNtex	ornithine transport via diffusion (extracellular to periplasm)	orn[e] <==> orn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
OROTtex	Orotate transport via diffusion (extracellular to periplasm)	orot[e] <==> orot[p]	( b1377  or  b0929  or  b0241  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PACALDtex	phenethylacetaldehyde transport via diffusion (extracellular to periplasm)	pacald[e] <==> pacald[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PEAMNtex	phenethylamine transport via diffusion (extracellular to periplasm)	peamn[e] <==> peamn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)	phe-L[e] <==> phe-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PItex	phosphate transport via diffusion (extracellular to periplasm)	pi[e] <==> pi[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	pnto-R[e] <==> pnto-R[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PPALtex	propanal transport via diffusion (extracellular to periplasm)	ppal[e] <==> ppal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PPAtex	propionate transport via diffusion	ppa[e] <==> ppa[p]	( b1377  or  b0929  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	pppn[e] <==> pppn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	ppt[e] <==> ppt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PROtex	L-proline transport via diffusion (extracellular to periplasm)	pro-L[e] <==> pro-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PSCLYStex	psicoselysine transporter via diffusion (extracellular)	psclys[e] <==> psclys[p]	( b0929  or  b2215  or  b1377  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PSERtex	phospho-L-serine transport via diffusion (extracellular to periplasm)	pser-L[e] <==> pser-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PTRCtex	putrescine transport via diffusion (extracellular to periplasm)	ptrc[e] <==> ptrc[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
PYRtex	pyruvate transport via diffusion (extracellular to periplasm)	pyr[e] <==> pyr[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
R5Ptex	Ribose 5-phosphate transport via diffusion (extracellular to periplasm)	r5p[e] <==> r5p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SBTtex	D-sorbitol transport via diffusion (extracellular to periplasm)	sbt-D[e] <==> sbt-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SERtex	L-serine transport via diffusion (extracellular to periplasm)	ser-L[e] <==> ser-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SKMtex	shikimate transport via diffusion (extracellular to periplasm)	skm[e] <==> skm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SO2tex	SO2 transport via diffusion (extracellular to periplasm)	so2[e] <==> so2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SO2tpp	SO2 transport via diffusion (periplasm)	so2[p] <==> so2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)			
SO3tex	sulfite transport via diffusion (extracellular to periplasm)	so3[e] <==> so3[p]	( b1377  or  b2215  or  b0241  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SO4tex	sulfate transport via diffusion (extracellular to periplasm)	so4[e] <==> so4[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SPMDtex	spermidine transport via diffusion (extracellular to periplasm)	spmd[e] <==> spmd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SUCCtex	succinate transport via diffusion (extracellular to periplasm)	succ[e] <==> succ[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
SULFACtex	sulfoaceate transport via diffusion (extracellular to periplasm)	sulfac[e] <==> sulfac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TARTRtex	Tartrate transport via diffusion (extracellular to periplasm)	tartr-L[e] <==> tartr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TAURtex	taurine transport via diffusion (extracellular to periplasm)	taur[e] <==> taur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TCYNTtex	Thiocyanate transport via diffusion (extracellular to periplasm)	tcynt[e] <==> tcynt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
THMDtex	thymidine transport via diffusion (extracellular to periplasm)	thymd[e] <==> thymd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
THMtex	Thiamine transport via diffusion (extracellular to periplasm)	thm[e] <==> thm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
THRPtex	phospho-L-threonine transport via diffusion (extracellular to periplasm)	thrp[e] <==> thrp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
THRtex	L-threonine transport via diffusion (extracellular to periplasm)	thr-L[e] <==> thr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
THYMtex	thymine transport via diffusion (extracellular to periplasm)	thym[e] <==> thym[p]	( b1377  or  b2215  or  b0241  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TMAOtex	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	tmao[e] <==> tmao[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TMAtex	Trimethylamine transport via diffusion (extracellular to periplasm)	tma[e] <==> tma[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TRPtex	L-tryptophan transport via diffusion (extracellular to periplasm)	trp-L[e] <==> trp-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TSULtex	thiosulfate transport via diffusion (extracellular to periplasm)	tsul[e] <==> tsul[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TUNGStex	tungstate transport via diffusion (extracellular to periplasm)	tungs[e] <==> tungs[p]	( b0929  or  b2215  or  b1377  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TYMtex	tyramine transport via diffusion (extracellular to periplasm)	tym[e] <==> tym[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TYRPtex	phopho-L-tyrosine transport via diffusion (extracellular to periplasm)	tyrp[e] <==> tyrp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	tyr-L[e] <==> tyr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UACGAMtex	UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	uacgam[e] <==> uacgam[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UDPACGALtex	UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	udpacgal[e] <==> udpacgal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UDPGALtex	UDPgalactose transport via diffusion (extracellular to periplasm)	udpgal[e] <==> udpgal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UDPGLCURtex	UDP-D-glucuronate transport via diffusion (extracellular to periplasm)	udpglcur[e] <==> udpglcur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UDPGtex	UDPglucose transport via diffusion (extracellular to periplasm)	udpg[e] <==> udpg[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UMPtex	UMP transport via diffusion (extracellular to periplasm)	ump[e] <==> ump[p]	( b0929  or  b1377  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
URAtex	uracil transport via diffusion (extracellular to periplasm)	ura[e] <==> ura[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
UREAtex	Urea transport via diffusion (extracellular to periplasm)	urea[e] <==> urea[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
VALtex	L-valine transport via diffusion (extracellular to periplasm)	val-L[e] <==> val-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)			
