abbreviation	name	equation	reversible	compartement	lowbnd	uppbnd	obj_coef	rule	subsystem
ID_198	fumarate hydratase	[c]: malS --> fum + h2o	false	C_c	0	1000	0	(fumA) and (fumB)	Citrate cycle (TCA cycle)
ID_254	malate:NAD+ oxidoreductase	[c]: malS + nad <==> oxac + nadh + h	true	C_c	-1000	1000	0	(ldh)	Citrate cycle (TCA cycle)
ID_557	methionine adenosyltransferase	[c]: metL + atp + h2o --> amet + pi + ppi	false	C_c	0	1000	0	(metK)	Cysteine and methionine metabolism
ID_99	acetyl-CoA:L-homoserine O-acetyltransferase	[c]: hser + acoa --> ahser + coa	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_231	adenosylhomocysteinase	[c]: ahcys + h2o --> adn + hcys	false	C_c	0	1000	0	(mtnN)	Cysteine and methionine metabolism
ID_2	spermine N1-acetyltransferase	[c]: sprm + acoa <==> naspin + coa	true	C_c	-1000	1000	0	(bltD)	Cysteine and methionine metabolism
ID_562	5-(methylthio)-2,3-dioxopentyl-phosphate phosphohydrolase (isomerizing)	[c]: 5mt23dopp + h2o <==> 12dh5mtp + pi	true	C_c	-1000	1000	0		Cysteine and methionine metabolism
ID_152	methionine synthase	[c]: hcys + 5mthf --> metL + thf	false	C_c	0	1000	0	(CD3596)	Cysteine and methionine metabolism
ID_265	2-hydroxy-3-keto-5-methylthio-1-phosphopentene phosphohydrolase	[c]: 2h3k5mt1pp + h2o --> 12dh5mtp + pi	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_714	2,3-diketo-5-methylthiopentenyl-1-phosphate enolase	[c]: 5mtr1p --> mthx5p	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_687	cystathionine gamma-synthase	[c]: suchser + cysL --> cysthL + succ	false	C_c	0	1000	0	(cysD)	Cysteine and methionine metabolism
ID_711	S-adenosylmethioninamine:putrescine 3-aminopropyltransferase	[c]: ametam + ptrc --> m5tade + spmd + h	false	C_c	0	1000	0	(speE)	Cysteine and methionine metabolism
ID_680	S-adenosyl-L-methionine carboxy-lyase	[c]: amet + h --> ametam + co2	false	C_c	0	1000	0	(speD)	Cysteine and methionine metabolism
ID_469	cystathionine gamma-lyase	[c]: cysL + h2o --> h2s + pyr + nh3	false	C_c	0	1000	0	(malY) or (CD2484) or (CD2696) or (CD2733)	Cysteine and methionine metabolism
ID_242	L-cystyeine sulfurtransferase	[c]: cysL + unsc + h --> alaL + ssc	false	C_c	0	1000	0	(iscS1) or (iscS2)	Cysteine and methionine metabolism
ID_418	spermidine N1-acetyltransferase	[c]: spmd + acoa <==> naspdi + coa	true	C_c	-1000	1000	0	(bltD)	Cysteine and methionine metabolism
ID_155	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase	[c]: ametam + spmd <==> sprm + m5tade + h	true	C_c	-1000	1000	0	(speE)	Cysteine and methionine metabolism
ID_560	methionine racemase	[c]: metL <==> metD	true	C_c	-1000	1000	0	(orr) or (racX) or (CD2819)	Cysteine and methionine metabolism
ID_189	S-adenosyl-L-homocysteine homocysteinylribohydrolase	[c]: ahcys + h2o --> s5ddr5lhcys + ade	false	C_c	0	1000	0	(mtnN)	Cysteine and methionine metabolism
ID_235	5-methylthioribulose-1-phosphate hydro-lyase	[c]: 5mtr1p --> 5mt23dopp + h2o	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_136	5-(methylthio)-2,3-dioxopentyl phosphate keto-enol-isomerase	[c]: 5mt23dopp --> 2h3k5mt1pp	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_98	L-methionine methanothiol-lyase	[c]: metL + h2o <==> ch4s + 2obut + nh3	true	C_c	-1000	1000	0	(mdeA)	Cysteine and methionine metabolism
ID_259	homoserine O-succinyltransferase	[c]: hser + succoa --> suchser + coa	false	C_c	0	1000	0	(metA)	Cysteine and methionine metabolism
ID_358	O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	[c]: ahser + ch4s --> ac + metL	false	C_c	0	1000	0	(cysD)	Cysteine and methionine metabolism
ID_309	S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]indole-3-acetate	[c]: s5ddr5lhcys <==> hcys + 4s45dhp23do	true	C_c	-1000	1000	0	(luxS)	Cysteine and methionine metabolism
ID_410	ATP:S-methyl-5-thio-D-ribose 1-phosphotransferase	[c]: atp + m5trib --> adp + m5trib1p	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_737	S-methyl-5-thio-alpha-D-ribose 1-phosphate ketol-isomerase	[c]: m5trib1p --> 5mtr1p	false	C_c	0	1000	0		Cysteine and methionine metabolism
ID_127	methylthioadenosine methylthioribohydrolase	[c]: m5tade + h2o --> m5trib + ade	false	C_c	0	1000	0	(mtnN)	Cysteine and methionine metabolism
ID_94	cystathionine beta-lyase	[c]: cysthL + h2o --> hcys + nh3 + pyr	false	C_c	0	1000	0	(malY) or (CD2484) or (CD2696) or (CD2733)	Cysteine and methionine metabolism
ID_167	L-homocysteine Methyltransferases	[c]: hcys + amet <==> ahcys + metL	true	C_c	-1000	1000	0	(CD3596)	Cysteine and methionine metabolism
ID_664	ornithine racemase	[c]: ornL --> ornD	false	C_c	0	1000	0	(racX) or (CD2819) or (orr)	D-Arginine and D-ornithine metabolism
ID_443	2-amino-4-ketopentanoate thiolase	[c]: 2a4op + coa --> alaD + acoa	false	C_c	0	1000	0	(ortA) and (ortB)	D-Arginine and D-ornithine metabolism
ID_243	D-ornithine 4,5-aminomutase	[c]: ornD --> 24dap	false	C_c	0	1000	0	(oraS) and (oraE)	D-Arginine and D-ornithine metabolism
ID_319	D-threo-2,4-diaminopentanoate:NADP+ oxidoreductase	[c]: 24dap + nadp + h2o --> 2a4op + nh3 + nadph + h	false	C_c	0	1000	0	(ord)	D-Arginine and D-ornithine metabolism
ID_193	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase	[c]: 24dap + nad + h2o --> 2a4op + nh3 + nadh + h	false	C_c	0	1000	0	(ord)	D-Arginine and D-ornithine metabolism
Ex_ca2	Exchange Ca2+	--> ca2[e]	FALSE	C_e	0	1000	0		Exchange
Ex_tyrL	Exchange L-tyrosine	--> tyrL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_chor	Exchange chorismate	--> chor[e]	FALSE	C_e	0	1000	0		Exchange
Ex_pheL	Exchange L-phenylalanine	--> pheL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_fru	Exchange D-fructose	--> fru[e]	FALSE	C_e	0	1000	0		Exchange
Ex_serL	Exchange L-serine	--> serL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_cysL	Exchange L-cysteine	--> cysL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_adn	Exchange adenosine	--> adn[e]	FALSE	C_e	0	1000	0		Exchange
Ex_dcyt	Exchange deoxycytidine	--> dcyt[e]	FALSE	C_e	0	1000	0		Exchange
Ex_mnl	Exchange mannitol	--> mnl[e]	FALSE	C_e	0	1000	0		Exchange
Ex_tagd	Exchange D-Tagaturonate	--> tagd[e]	FALSE	C_e	0	1000	0		Exchange
Ex_k	Exchange K+	--> k[e]	FALSE	C_e	0	1000	0		Exchange
Ex_so3	Exchange sulfite	--> so3[e]	FALSE	C_e	0	1000	0		Exchange
Ex_chol	Exchange choline	--> chol[e]	FALSE	C_e	0	1000	0		Exchange
Ex_uri	Exchange uridine	--> uri[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ura	Exchange uracil	--> ura[e]	FALSE	C_e	0	1000	0		Exchange
Ex_glc	Exchange beta-D-glucose	--> glc[e]	FALSE	C_e	0	1000	0		Exchange
Ex_nac	Exchange nicotinate	--> nac[e]	FALSE	C_e	0	1000	0		Exchange
Ex_argL	Exchange L-arginine	--> argL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_udpagaepyr	Exchange UDP-N-acetylglucosamine-enolpyruvate	--> udpagaepyr[e]	FALSE	C_e	0	1000	0		Exchange
Ex_hxan	Exchange hypoxanthine	--> hxan[e]	FALSE	C_e	0	1000	0		Exchange
Ex_metL	Exchange L-methionine	--> metL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_thm	Exchange thiamin	--> thm[e]	FALSE	C_e	0	1000	0		Exchange
Ex_proL	Exchange L-proline	--> proL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_aspL	Exchange L-aspartate	--> aspL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ribflv	Exchange riboflavin	--> ribflv[e]	FALSE	C_e	0	1000	0		Exchange
Ex_hco3	Exchange bicarbonate	--> hco3[e]	FALSE	C_e	0	1000	0		Exchange
Ex_h	Exchange H+	--> h[e]	FALSE	C_e	0	1000	0		Exchange
Ex_valL	Exchange L-valine	--> valL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_4abz	Exchange 4-aminobenzoate	--> 4abz[e]	FALSE	C_e	0	1000	0		Exchange
Ex_thymd	Exchange thymidine	--> thymd[e]	FALSE	C_e	0	1000	0		Exchange
Ex_pntoR	Exchange (R)-pantothenate	--> pntoR[e]	FALSE	C_e	0	1000	0		Exchange
Ex_dad	Exchange deoxyadenosine	--> dad[e]	FALSE	C_e	0	1000	0		Exchange
Ex_g3p	Exchange sn-glycerol-3-phosphate	--> g3p[e]	FALSE	C_e	0	1000	0		Exchange
Ex_na	Exchange Na+	--> na[e]	FALSE	C_e	0	1000	0		Exchange
Ex_gly	Exchange glycine	--> gly[e]	FALSE	C_e	0	1000	0		Exchange
Ex_h2o	Exchange H2O	--> h2o[e]	FALSE	C_e	0	1000	0		Exchange
Ex_pyin	Exchange pyridoxine	--> pyin[e]	FALSE	C_e	0	1000	0		Exchange
Ex_leuL	Exchange L-leucine	--> leuL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ileL	Exchange L-isoleucine	--> ileL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_cobalt	Exchange Co2+	--> cobalt[e]	FALSE	C_e	0	1000	0		Exchange
Ex_zn2	Exchange Zn2+	--> zn2[e]	FALSE	C_e	0	1000	0		Exchange
Ex_pi	Exchange phosphate	--> pi[e]	FALSE	C_e	0	1000	0		Exchange
Ex_gluL	Exchange L-glutamate	--> gluL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_glnL	Exchange L-glutamine	--> glnL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_asnL	Exchange L-asparagine	--> asnL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_thrL	Exchange L-threonine	--> thrL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_trpL	Exchange L-tryptophan	--> trpL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_nh3	Exchange ammonia	--> nh3[e]	FALSE	C_e	0	1000	0		Exchange
Ex_co2	Exchange CO2	--> co2[e]	FALSE	C_e	0	1000	0		Exchange
Ex_alaL	Exchange L-alanine	--> alaL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ribD	Exchange D-ribose	--> ribD[e]	FALSE	C_e	0	1000	0		Exchange
Ex_h2	Exchange H2	--> h2[e]	FALSE	C_e	0	1000	0		Exchange
Ex_his	Exchange L-histidine	--> his[e]	FALSE	C_e	0	1000	0		Exchange
Ex_bio	Exchange biotin	--> bio[e]	FALSE	C_e	0	1000	0		Exchange
Ex_mg2	Exchange Mg2+	--> mg2[e]	FALSE	C_e	0	1000	0		Exchange
Ex_lysL	Exchange L-lysine	--> lysL[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ins	Exchange inosine	--> ins[e]	FALSE	C_e	0	1000	0		Exchange
Ex_c1ala	Exchange cob(I)alamin	--> c1ala[e]	FALSE	C_e	0	1000	0		Exchange
Ex_ncam	Exchange nicotinamide	--> ncam[e]	FALSE	C_e	0	1000	0		Exchange
ID_400	butanoyl-CoA dehydrogenase (FAD)	[c]: btcoa + fad <==> fadh2 + ctnycoa	true	C_c	-1000	1000	0	(acdB) or (bcd2)	Fatty acid degradation
ID_325	enoyl-CoA hydratase	[c]: 3hbcoa <==> ctncoa + h2o	true	C_c	-1000	1000	0	(crt1) or (crt2)	Fatty acid degradation
ID_481	acetyl-CoA C-acetyltransferase	[c]: aacoa + coa <==> (2) acoa	true	C_c	-1000	1000	0	(thlA1) or (thlA2) or (CD2970)	Fatty acid degradation
ID_390	3-hydroxyacyl-CoA dehydrogenase	[c]: 3hbcoa + nad <==> aacoa + nadh + h	true	C_c	-1000	1000	0	(hbd)	Fatty acid degradation
ID_471	acyl-CoA hydrolase	[c]: r3hbatcoa + h2o --> r3hbat + coa + h	false	C_c	0	1000	0	(CD1966)	Fatty acid degradation
ID_60	Beta-Oxidation of Palmitoyl-CoA	[c]: lcacoa + (7) fadh2 + (7) h2o + (7) nad + (7) coa --> (8) acoa + (7) nadh + (7) h + (7) fad	false	C_c	0	1000	0	(crt1) and (CD0803) and (hbd) and (thlA2)	Fatty acid degradation
ID_409	(S)-3-Hydroxybutanoyl-CoA 3-epimerase	[c]: 3hbcoa <==> r3hbatcoa	true	C_c	-1000	1000	0		Fatty acid degradation
ID_341	dihydroneopterin monophosphate dephosphorylase	[c]: 78dhnpte3p + h2o --> 78dhnpte + pi	false	C_c	0	1000	0		Folate biosynthesis
ID_149	6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	[c]: 6hm78dhpte + 4abz <==> 78dhpte + h2o	true	C_c	-1000	1000	0	(folP)	Folate biosynthesis
ID_457	dihydroneopterin triphosphate pyrophosphohydrolase	[c]: 78dhnptetp + h2o --> 78dhnpte3p + ppi	false	C_c	0	1000	0		Folate biosynthesis
ID_180	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	[c]: 6hm78dhpte + atp --> 6hmdhptedp + amp	false	C_c	0	1000	0	(folK)	Folate biosynthesis
ID_495	4-amino-4-deoxychorismate synthase	[c]: chor + glnL --> 4a4dchor + gluL	false	C_c	0	1000	0	(pabA) and (pabB)	Folate biosynthesis
ID_75	dihydrofolate synthase	[c]: atp + 78dhpte + gluL --> adp + pi + 78dhfmg	false	C_c	0	1000	0	(folC)	Folate biosynthesis
ID_438	4-amino-4-deoxychorismate pyruvate-lyase	[c]: 4a4dchor --> 4abz + pyr	false	C_c	0	1000	0	(pabC)	Folate biosynthesis
ID_104	D-aminocylase	[c]: 4abg + h2o + (2) h <==> gluD + 4abz	true	C_c	-1000	1000	0	(CD2859) or (CD3182)	Folate biosynthesis
ID_344	dihydropteroate synthase	[c]: 6hmdhptedp + 4abz --> 78dhpte + ppi	false	C_c	0	1000	0	(folP)	Folate biosynthesis
ID_524	GTP 7,8-8,9-dihydrolase	[c]: gtp + h2o --> 78dhnptetp + for	false	C_c	0	1000	0	(folE)	Folate biosynthesis
ID_172	dihydroneopterin aldolase	[c]: 78dhnpte --> 6hm78dhpte + gcald	false	C_c	0	1000	0	(folB)	Folate biosynthesis
ID_64	phosphomannomutase	[c]: man6p --> man1p	false	C_c	0	1000	0	(pgm2)	Fructose and mannose metabolism
ID_219	1-phosphofructokinase	[c]: fru1p + atp --> fru16bp + adp	false	C_c	0	1000	0	(fruK)	Fructose and mannose metabolism
ID_545	UTP:D-fructose-6-phosphate 1-phosphotransferase	[c]: fru6p + utp --> fru16bp + udp	false	C_c	0	1000	0	(CD3110) or (pfkA)	Fructose and mannose metabolism
ID_541	D-sobitol-6-phosphate:NAD+ 2-oxidoreductase	[c]: sor6p + nad --> fru6p + nadh + h	false	C_c	0	1000	0	(gutD)	Fructose and mannose metabolism
ID_726	mannose-1-phosphate guanylyltransferase (GDP)	[c]: man1p + gdp <==> gdpm + pi	true	C_c	-1000	1000	0	(manC)	Fructose and mannose metabolism
ID_610	ATP:D-hexose 6 phosphotransferase alpha galactose	[c]: galA + atp --> gal6p + adp	false	C_c	0	1000	0	(CD2236)	Fructose and mannose metabolism
ID_253	ATP:D-hexose 6 phosphotransferase mannose	[c]: adman + atp --> man6p + adp	false	C_c	0	1000	0	(CD2236)	Fructose and mannose metabolism
ID_276	fructose-bisphosphatase	[c]: fru16bp + h2o --> fru6p + pi	false	C_c	0	1000	0	(fbp)	Fructose and mannose metabolism
ID_567	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase	[c]: shl7p + glyald3p <==> et4p + fru6p	true	C_c	-1000	1000	0	(tal) or (CD2110)	Fructose and mannose metabolism
ID_542	ATP:D-fructose 6-phosphotransferase	[c]: atp + fru --> adp + fru6p	false	C_c	0	1000	0	(scrK)	Fructose and mannose metabolism
ID_732	D-fructose 1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase	[c]: dhap + glyald3p <==> fru16bp	true	C_c	-1000	1000	0	(fba)	Fructose and mannose metabolism
ID_302	ATP:D-hexose 6 phosphotransferase beta galactose	[c]: gal + atp --> gal6p + adp	false	C_c	0	1000	0	(CD2236)	Fructose and mannose metabolism
ID_353	L-fuculose-1-phosphate lactaldehyde-lyase	[c]: fuc1p <==> dhap + laldS	true	C_c	-1000	1000	0	(CD0045) or (CD2277)	Fructose and mannose metabolism
ID_290	ITP:D-fructose-6-phosphate 1-phosphotransferase	[c]: fru6p + itp --> fru16bp + idp	false	C_c	0	1000	0	(CD3110) or (pfkA)	Fructose and mannose metabolism
ID_674	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	[c]: sh17bp <==> dhap + et4p	true	C_c	-1000	1000	0	(fba) or (CD3135)	Fructose and mannose metabolism
ID_613	ATP:sedoheptulose-7-phosphate 1-phosphotransferase	[c]: atp + shl7p --> adp + sh17bp	false	C_c	0	1000	0	(CD3110) or (pfkA)	Fructose and mannose metabolism
ID_436	alpha-D-Glucose aldose-ketose-isomerase	[c]: glcAD <==> fru	true	C_c	-1000	1000	0	(CD2710)	Fructose and mannose metabolism
ID_649	mannose-6-phosphate isomerase	[c]: man6p <==> fru6p	true	C_c	-1000	1000	0	(pmi)	Fructose and mannose metabolism
ID_611	mannitol-1-phosphate 5-dehydrogenase	[c]: mnl1p + nad --> fru6p + nadh + h	false	C_c	0	1000	0	(mtlD)	Fructose and mannose metabolism
ID_676	sorbitol dehydrogenase	[c]: sor + nad <==> fru + nadh + h	true	C_c	-1000	1000	0	(CD0490) or (CD2323) or (ansB)	Fructose and mannose metabolism
ID_527	CTP:D-fructose-6-phosphate 1-phosphotransferase	[c]: fru6p + ctp --> fru16bp + cdp	false	C_c	0	1000	0	(CD3110) or (pfkA)	Fructose and mannose metabolism
ID_199	fructose-bisphosphate aldolase	[c]: fru1p --> dhap + glyald	false	C_c	0	1000	0	(fba) or (CD3135)	Fructose and mannose metabolism
ID_297	ATP:D-fructose-6-phosphate 1-phosphotransferase	[c]: fru6p + atp --> fru16bp + adp	false	C_c	0	1000	0	(CD3110) or (pfkA)	Fructose and mannose metabolism
ID_659	mannose-1-phosphate guanylyltransferase (GTP)	[c]: man1p + gtp --> gdpm + ppi	false	C_c	0	1000	0	(manC)	Fructose and mannose metabolism
ID_173	UTP hexose-1-phosphate uridylyltransferase	[c]: gal1pA + utp --> udpgal + ppi	false	C_c	0	1000	0	(CD1340)	Fructose and mannose metabolism
ID_333	Fructokinase	[c]: fruf + atp --> fru6p + adp	false	C_c	0	1000	0		Fructose and mannose metabolism
ID_491	CTP:tagatose-6-phosphate 1-phosphotransferase	[c]: tag6p + ctp --> tag16bp + cdp	false	C_c	0	1000	0	(pfkA) or (CD3110)	Galactose metabolism
ID_329	D-galactose 1-epimerase	[c]: gal --> galA	false	C_c	0	1000	0	(CD3440)	Galactose metabolism
ID_255	D-glucose 1-phosphate 1-epimerase	[c]: glc1pA --> glc1p	false	C_c	0	1000	0	(Spontaneous)	Galactose metabolism
ID_532	ATP:tagatose-6-phosphate 1-phosphotransferase	[c]: tag6p + atp --> tag16bp + adp	false	C_c	0	1000	0	(lacC)	Galactose metabolism
ID_742	Galactitol-1-phosphate:NAD+ oxidoreductase	[c]: gtol1p + nad <==> tag6p + nadh + h	true	C_c	-1000	1000	0	(gatD)	Galactose metabolism
ID_417	UDP-D-glucose:alpha-D-galactose 1-phosphate uridylyltransferase	[c]: gal1pA + udpglu --> udpgal + glc1pA	false	C_c	0	1000	0	(CD1340)	Galactose metabolism
ID_444	UDP-glucose 4-epimerase	[c]: udpgal <==> udpglu	true	C_c	-1000	1000	0	(galE)	Galactose metabolism
ID_480	UTP:tagatose-6-phosphate 1-phosphotransferase	[c]: tag6p + utp --> tag16bp + udp	false	C_c	0	1000	0	(pfkA) or (CD3110)	Galactose metabolism
ID_205	tagatose-bisphosphate aldolase	[c]: tag16bp --> dhap + glyald3p	false	C_c	0	1000	0	(gatY) or (CD3074)	Galactose metabolism
ID_631	ITP:tagatose-6-phosphate 1-phosphotransferase	[c]: tag6p + itp --> tag16bp + idp	false	C_c	0	1000	0	(lacC) or (tagK)	Galactose metabolism
ID_633	galactose-6-phosphate isomerase	[c]: gal6p --> tag6p	false	C_c	0	1000	0	(rpiB1) and (rpiB2)	Galactose metabolism
ID_9	glycerol dehydrogenase (NAD+)	[c]: glyo + nad <==> glyald + nadh + h	true	C_c	-1000	1000	0	(adhE) or (CD2966) or (CD3006)	Glycerolipid metabolism
ID_429	1,2-diacylglycerol 3-glucosyltransferase	[c]: udpglu + 12dag <==> udp + 3g12dag	true	C_c	-1000	1000	0	(CD0019) or (CD1344)	Glycerolipid metabolism
ID_298	glycerol dehydrogenase (NADP+)	[c]: glyo + nadp <==> glyald + nadph + h	true	C_c	-1000	1000	0	(adhE) or (CD2966) or (CD3006)	Glycerolipid metabolism
ID_549	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase	[c]: 1ag3p + lcacoa --> ptd + coa	false	C_c	0	1000	0	(CD1817) or (CD1723)	Glycerolipid metabolism
ID_455	diacylglycerol kinase	[c]: adp + ptd --> atp + 12dag	false	C_c	0	1000	0	(CD2439)	Glycerolipid metabolism
ID_678	aldehyde dehydrogenase (NAD+)	[c]: glyald + nad + h2o <==> glyc + nadh + h	true	C_c	-1000	1000	0	(aldH)	Glycerolipid metabolism
ID_273	palmitate biosynthesis	[c]: acoa + (7) malacp + (7) nadph + (7) nadh + (14) h <==> palm + (7) nadp + (7) nad + (7) co2 + (6) h2o + (7) hacp + coa	true	C_c	-1000	1000	0	(fabH) and (fabF) and (fabG) and (fabZ) or (fabH) and (fabF) and (CD2577) and (fabZ)	Glycerolipid metabolism
ID_477	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase	[c]: udpamagdap + alaala + atp --> udpamagdapaa + adp + pi	false	C_c	0	1000	0	(murF)	Glycerolipid metabolism
ID_86	hexosyltransferase	[c]: 3g12dag + udpglu <==> dgdag + udp	true	C_c	-1000	1000	0		Glycerolipid metabolism
ID_564	glycerol kinase	[c]: glyo + atp --> g3p + adp	false	C_c	0	1000	0	(glpK1) or (glpK2)	Glycerolipid metabolism
ID_224	phosphatidylglycerol-membrane-oligosaccharide	[c]: ptg + dgdag <==> 12dag + gpgl	true	C_c	-1000	1000	0		Glycerolipid metabolism
ID_740	Acyl-CoA thioesterase	[c]: palm + coa + atp --> lcacoa + h2o + amp + (2) pi	false	C_c	0	1000	0	(CD1966)	Glycerolipid metabolism
ID_109	glycerol-3-phosphate dehydrogenase (NAD+)	[c]: dhap + nadh + h --> g3p + nad	false	C_c	0	1000	0	(glyC) or (gpsA)	Glycerophospholipid metabolism
ID_204	CDP-diacylglycerol phosphatidylhydrolase	[c]: cdpdag + h2o --> cmp + ptd	false	C_c	0	1000	0		Glycerophospholipid metabolism
ID_588	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	[c]: cdpdag + g3p --> ptgp + cmp	false	C_c	0	1000	0	(pgsA)	Glycerophospholipid metabolism
ID_56	glycerol-3-phosphate dehydrogenase (NADP+)	[c]: dhap + nadph + h --> g3p + nadp	false	C_c	0	1000	0	(glyC) or (gpsA)	Glycerophospholipid metabolism
ID_546	phosphatidate cytidylyltransferase	[c]: ptd + ctp --> cdpdag + ppi	false	C_c	0	1000	0	(cdsA)	Glycerophospholipid metabolism
ID_78	glycerol-3-phosphate O-acyltransferase	[c]: g3p + lcacoa --> 1ag3p + coa	false	C_c	0	1000	0	(plsX)	Glycerophospholipid metabolism
ID_185	phosphatidylglycerophosphatase	[c]: ptgp + h2o --> ptg + pi	false	C_c	0	1000	0		Glycerophospholipid metabolism
ID_232	cardiolipin biosynthesis	[c]: (2) ptg --> cdlp + glyo	false	C_c	0	1000	0	(cls) or (CD3404)	Glycerophospholipid metabolism
ID_267	glycerol-3-phosphate cytidylyltransferase	[c]: g3p + ctp --> cdpg + ppi	false	C_c	0	1000	0		Glycerophospholipid metabolism
ID_340	ethanolamine ammonia-lyase	[c]: etoa --> aald + nh3	false	C_c	0	1000	0	(eutB) and (eutC) or (eutA) and (eutB) and (eutC)	Glycerophospholipid metabolism
ID_249	2-amino-3-oxobutanoate CoA-ligase	[c]: 2a3ob + coa --> gly + acoa	false	C_c	0	1000	0		Glycine, serine and threonine metabolism
ID_751	Glycine dehydrogenase (aminomethyl-transferring)	[c]: hgcvpllys + gly --> hpsamdhllys + co2	false	C_c	0	1000	0	(gcvTPA) and (gcvPB)	Glycine, serine and threonine metabolism
ID_501	D-serine ammonia-lyase	[c]: serD --> pyr + nh3	false	C_c	0	1000	0	(CD2819)	Glycine, serine and threonine metabolism
ID_165	homoserine dehydrogenase (NADP+)	[c]: aspsald + nadph + h --> hser + nadp	false	C_c	0	1000	0	(hom1) or (hom2)	Glycine, serine and threonine metabolism
ID_283	phosphoserine phosphatase	[c]: 3pser + h2o --> serL + pi	false	C_c	0	1000	0	(CD0241) or (CD0309)	Glycine, serine and threonine metabolism
ID_494	aspartate kinase	[c]: aspL + atp --> asp4p + adp	false	C_c	0	1000	0	(dapG) or (lysC) or (CD2627)	Glycine, serine and threonine metabolism
ID_556	threonine aldolase	[c]: thrL --> gly + aald	false	C_c	0	1000	0	(ltaE)	Glycine, serine and threonine metabolism
ID_625	L-threonine:NAD+ oxidoreductase	[c]: thrL + nad --> 2a3ob + nadh + h	false	C_c	0	1000	0	(CD1792)	Glycine, serine and threonine metabolism
ID_240	threonine synthase	[c]: phser + h2o --> thrL + pi	false	C_c	0	1000	0	(thrC)	Glycine, serine and threonine metabolism
ID_130	betaine aldehyde:NAD+ oxidoreductase	[c]: betald + h2o + nad --> glyb + nadh + (2) h	false	C_c	0	1000	0		Glycine, serine and threonine metabolism
ID_536	L-cysteinylglycine dipeptidase	[c]: cysgly + h2o --> cysL + gly	false	C_c	0	1000	0	(pepD) or (pepA)	Glycine, serine and threonine metabolism
ID_293	choline dehydrogenase (NADP+)	[c]: chol + nadp --> betald + nadph + h	false	C_c	0	1000	0	(adhE) or (CD3006)	Glycine, serine and threonine metabolism
ID_330	L-threonine dehydratase	[c]: thrL --> 2obut + nh3	false	C_c	0	1000	0	(tdcB)	Glycine, serine and threonine metabolism
ID_143	glycine hydroxymethyltransferase	[c]: serL + thf <==> gly + 510mlethf + h2o	true	C_c	-1000	1000	0	(glyA) or (CD2834)	Glycine, serine and threonine metabolism
ID_452	phosphoglycerate dehydrogenase	[c]: 3pg + nad --> 3phpyr + nadh + h	false	C_c	0	1000	0	(serA)	Glycine, serine and threonine metabolism
ID_743	serine racemase	[c]: serL <==> serD	true	C_c	-1000	1000	0	(vanTG) or (CD2819) or (racX) or (orr)	Glycine, serine and threonine metabolism
ID_665	3-phospho-L-serinephosphoserine transaminase	[c]: 3phpyr + gluL --> 3pser + 2oglut	false	C_c	0	1000	0	(CD0994)	Glycine, serine and threonine metabolism
