COMPOUND ID	NAME	FORMULA	KEGG	STATUS IN Oh et al model	MODEL IDs	CHARGE	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)														
cpd00501	beta-D-Glucose 1-phosphate|beta-D-glucose 1-phosphate	C6H12O9P	C00663	g1p-B	iAO358:cll_261|iYO844:g1p-B	-1	-430.78	1.51														
cpd00504	"LL-2,6-Diaminoheptanedioate|LL-2,6-Diaminopimelate|LL-2,6-Diaminopimelic acid|LL-2,6-diaminopimelate|LL-2,6-diaminoheptanedioate|LL-2-6-Diaminoheptanedioate"	C7H14N2O4	C00666	26dap-LL	iJR904:26dap-LL|iAO358:cll_312|iAG612:cbs_427|iSB619:26dap-LL|iAF1260:26dap-LL|iIT341:26dap_LL|iAbaylyiv4:LL-DIAMINOPIMELATE|iYO844:26dap-LL|iNJ661:26dap-LL|iJN746:26dap-LL	0	-163.68	0.60														
cpd00507	sn-glycero-3-Phosphocholine|Glycerophosphocholine|sn-Glycero-3-phosphocholine	C8H20NO6P	C00670	g3pc	iJR904:g3pc|iYO844:g3pc|iSB619:g3pc|iAF1260:g3pc	0	-254.99	2.06														
cpd00508	(S)-3-Methyl-2-oxopentanoic acid|3-Methyl-2-oxopentanoate|(S)-3-Methyl-2-oxopentanoate|(3S)-3-Methyl-2-oxopentanoic acid|(3S)-3-Methyl-2-oxopentanoate|S-3-Methyl-2-oxopentanoate|3MOP|2-Oxo-3-methylvalerate|3-methyl-2-oxopentanoate|2-keto-3-methylvalerate|2-keto-3-methyl-valerate	C6H9O3	C00671|C03465	3mop	iJR904:3mop|iAO358:cll_51:cll_436|iAG612:cbs_56|iAF692:3mop|iSB619:3mop|iAF1260:3mop|iIT341:3mop|iAbaylyiv4:2-KETO-3-METHYL-VALERATE|iND750:3mop|iYO844:3mop|iNJ661:3mop|iJN746:3mop	-1	-109.64	0.40														
cpd00509	2-Deoxy-D-ribose 1-phosphate|2-Deoxy-alpha-D-ribose 1-phosphate|2-Deoxy-D-ribose1-phosphate|2-deoxy-D-ribose 1-phosphate|deoxyribose-1-phosphate	C5H10O7P	C00672	2dr1p	iJR904:2dr1p|iAO358:cll_144|iAG612:cbs_273|iAF692:2dr1p|iSB619:2dr1p|iAF1260:2dr1p|iIT341:2dr1p|iND750:2dr1p|iYO844:2dr1p|iPS189:2dr1p|iNJ661:2dr1p	-1	-354.28	1.18														
cpd00510	2-Deoxy-D-ribose 5-phosphate|2-Deoxy-D-ribose5-phosphate|2-deoxy-D-ribose 5-phosphate|deoxyribose-5-phosphate	C5H10O7P	C00673	2dr5p	iJR904:2dr5p|iAO358:cll_145|iAG612:cbs_280|iSB619:2dr5p|iAF1260:2dr5p|iIT341:2dr5p|iND750:2dr5p|iYO844:2dr5p|iNJ661:2dr5p|iPS189:2dr5p	-1	-354.28	1.18														
cpd00515	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	C00679	5d4dglcr	iJR904:5dh4dglc|iAbaylyiv4:5-KETO-4-DEOXY-D-GLUCARATE|iYO844:5d4dglcr|iAF1260:5dh4dglc	-2	-263.36	0.53														
cpd00516	"meso-2,6-Diaminoheptanedioate|meso-2,6-Diaminopimelate|meso-2,6-Diaminopimelic acid|meso-Diaminoheptanedioate|meso-2,6-diaminopimelate|meso-2,6-diaminoheptanedioate|meso-2-6-Diaminoheptanedioate"	C7H14N2O4	C00680	26dap-M	iJR904:26dap-M|iAO358:cll_257|iAG612:cbs_428|iAF692:26dap-M|iSB619:26dap-M|iAF1260:26dap-M|iIT341:26dap_M|iAbaylyiv4:MESO-DIAMINOPIMELATE|iYO844:26dap-M|iNJ661:26dap-M|iJN746:26dap-M	0	-163.68	0.60														
cpd00519	(S)-2-Methyl-3-oxopropanoyl-CoA|(S)-2-Methyl-3-oxopropionyl-CoA|(S)-Methylmalonyl-CoA|(S)-Methylmalonyl-coenzyme A|(S)-3-Oxo-2-methylpropanoyl-CoA|D-methylmalonyl-CoA|D-Methylmalonyl-CoA	C25H36N7O19P3S	C00683	mmcoa-S	iJR904:mmcoa-S|iAG612:cbs_308|iYO844:mmcoa-S|iNJ661:mmcoa-S|iAF1260:mmcoa-S	-4	-863.85	3.55														
cpd00521	"dTDP-4-dehydro-6-deoxy-alpha-D-glucose|dTDP-4-oxo-6-deoxy-alpha-D-glucose|4,6-Dideoxy-4-oxo-dTDP-D-glucose|dTDP-4-oxo-6-deoxy-D-glucose|dTDP-4-dehydro-6-deoxy-D-glucose|dTDP-4-dehydro-6-deoxy-alpha-D-galactose|dTDP-4-dehydro-6-deoxy-D-galactose|dtdp-4-dehydro-6-deoxy-d-glucose"	C16H22N2O15P2	C00687|C11907	NOT IN MODEL	iJR904:dtdp4d6dg|iAbaylyiv4:DTDP-DEOH-DEOXY-GLUCOSE|iAO358:cll_129|iAF692:dtdp4d6dg|iNJ661:dtdp4d6dg|iAF1260:dtdp4d6dg	-2	-680.33	2.86														
cpd00523	"alpha,alpha'-Trehalose 6-phosphate|Trehalose 6-phosphate|trehalose 6-phosphate|D-trehalose-6-phosphate"	C12H22O14P	C00689	tre6p	iJR904:tre6p|iAO358:cll_370|iAG612:cbs_318|iSB619:tre6p|iAF1260:tre6p|iAbaylyiv4:TREHALOSE-6P|iND750:tre6p|iYO844:tre6p|iPS189:tre6p|iNJ661:tre6p	-1	-589.26	2.99														
cpd00524	"2,4,6/3,5-Pentahydroxycyclohexanone|scyllo-Inosose|2-Inosose|2-inosose"	C6H10O6	C00691	2ins	iAG612:cbs_75|iAF692:2ins|iYO844:2ins|iPS189:2ins	0	-213.40	1.28														
cpd00525	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate|udp-n-acetylmuramoyl-l-alanyl-d-glutamate	C28H39N5O23P2	C00692	uamag	iJR904:uamag|iAO358:cll_283|iSB619:uamag|iAF1260:uamag|iIT341:uamag|iAbaylyiv4:UDP-AA-GLUTAMATE|iYO844:uamag|iNJ661:uamag|iJN746:uamag	-4	-958.02	3.91														
cpd00526	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate|Cholate|3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid|Cholic acid"	C24H39O5	C00695	NOT IN MODEL		-1	-165.99	7.11														
cpd00530	XTP	C10H12N4O15P3	C00700	NOT IN MODEL	iPS189:xtp|iAF1260:xtp	-3	-780.43	2.80														
cpd00531	Hg2+|Mercury (charged +2)|Mercury(2+)|Mercuric ion	Hg	C00703	hg2	iYO844:hg2|iAF1260:hg2	2	UNKNOWN	UNKNOWN														
cpd00532	O2.-|Superoxide anion|Superoxide|O2-|Superoxideanion|superoxide	HO2	C00704	o2-	iJR904:o2-|iAO358:cll_361|iAF692:o2-|iSB619:o2-|iAF1260:o2s|iIT341:o2s|iAbaylyiv4:SUPER-OXIDE|iYO844:o2-|iNJ661:o2s	0	3.92	0.50														
cpd00533	dCDP|2'-Deoxycytidine diphosphate|2'-Deoxycytidine 5'-diphosphate|dcdp	C9H13N3O10P2	C00705	dcdp	iJR904:dcdp|iAO358:cll_127|iAG612:cbs_264|iAF692:dcdp|iSB619:dcdp|iAF1260:dcdp|iIT341:dcdp|iAbaylyiv4:DCDP|iND750:dcdp|iYO844:dcdp|iPS189:dcdp|iNJ661:dcdp|iJN746:dcdp	-2	-513.54	1.84														
cpd00540	"Betaine|Trimethylaminoacetate|Glycine betaine|N,N,N-Trimethylglycine|Trimethylammonioacetate|betaine|BET"	C5H11NO2	C00719	glyb	iJR904:glyb|iAO358:cll_97:cll_98|iAF692:glyb|iSB619:glyb|iAF1260:glyb|iAbaylyiv4:BETAINE|iYO844:glyb|iNJ661:glyb|iJN746:glyb	0	-31.03	1.96														
cpd00541	Lipoate|Lipoic acid|alpha-Lipoic acid|Thioctic acid	C8H13O2S2	C00725	lipt	iYO844:lipt	-1	-63.98	1.56														
cpd00550	D-Serine|d-serine	C3H7NO3	C00740	ser-D	iIT341:ser_D|iJR904:ser-D|iAbaylyiv4:D-SERINE|iYO844:ser-D|iNJ661:ser-D|iAF1260:ser-D	0	-124.15	0.31														
cpd00557	Siroheme|siroheme	C42H36FeN4O16	C00748	sheme	iJR904:sheme|iAbaylyiv4:SIROHEME|iAF692:sheme|iYO844:sheme|iNJ661:sheme|iSB619:sheme|iAF1260:sheme|iJN746:sheme	-8	UNKNOWN	UNKNOWN														
cpd00558	"Spermine|N,N'-Bis(3-aminopropyl)-1,4-butanediamine|SPRM"	C10H30N4	C00750	sprm	iIT341:sprm|iAO358:cll_318|iYO844:sprm|iND750:sprm	4	15.60	2.04														
cpd00581	Urocanate|Urocanic acid|urocanate	C6H5N2O2	C00785	urcan	iAbaylyiv4:UROCANATE|iAG612:cbs_416|iYO844:urcan|iSB619:urcan|iJN746:urcan	-1	-26.85	1.30														
cpd00588	D-Sorbitol|D-Glucitol|L-Gulitol|Sorbitol|D-sorbitol	C6H14O6	C00794	sbt-D	iJR904:sbt-D|iAG612:cbs_314:cbs_510|iYO844:sbt-D|iND750:sbt-D|iSB619:sbt-D|iAF1260:sbt-D	0	-225.44	0.99														
cpd00599	Salicylate|o-Hydroxybenzoic acid|Salicylic acid|SALC|salicylate	C7H5O3	C00805	NOT IN MODEL	iAbaylyiv4:CPD-110|iAO358:cll_325|iNJ661:salc	-1	-92.53	0.89														
cpd00608	D-Altronate|D-altronate|D-altronatete	C6H11O7	C00817	altrn	iJR904:altrn|iAO358:cll_385|iAG612:cbs_262|iYO844:altrn|iAF1260:altrn	-1	-268.66	0.89														
cpd00609	D-Glucarate|D-Glucaric acid|L-Gularic acid|d-Saccharic acid|D-Glucosaccharic acid|d-glucarate	C6H8O8	C00818	glcr	iJR904:glcr|iAbaylyiv4:D-GLUCARATE|iYO844:glcr|iAF1260:glcr	-2	-311.88	0.82														
cpd00616	L-Arogenate|L-Arogenic acid|Pretyrosine|l-arogenate	C10H12NO5	C00826	NOT IN MODEL	iAbaylyiv4:CPD-659	-1	-161.40	1.32														
cpd00626	dTDP-glucose|dTDP-D-glucose|dTDPglucose|dTDP-alpha-D-glucose|dtdp-d-glucose	C16H24N2O16P2	C00842	NOT IN MODEL	iJR904:dtdpglu|iAbaylyiv4:DTDP-D-GLUCOSE|iAO358:cll_356|iAF692:dtdpglu|iNJ661:dtdpglu|iAF1260:dtdpglu	-2	-723.12	2.95														
cpd00637	D-Methionine|D-2-Amino-4-(methylthio)butyric acid|d-methionine	C5H11NO2S	C00855	met-D	iJR904:met-D|iAbaylyiv4:CPD-218|iYO844:met-D|iAF1260:met-D	0	-75.91	0.82														
cpd00638	Deamino-NAD+|Deamido-NAD+|Deamido-NAD|deamido-NAD+|deamido-nad	C21H24N6O15P2	C00857	dnad	iJR904:dnad|iAO358:cll_288|iAF692:dnad|iSB619:dnad|iAF1260:dnad|iIT341:dnad|iAbaylyiv4:DEAMIDO-NAD|iND750:dnad|iYO844:dnad|iPS189:dnad|iNJ661:dnad|iJN746:dnad	-2	-572.03	4.30														
cpd00641	L-Histidinol|L-histidinol	C6H12N3O	C00860	histd	iJR904:histd|iAO358:cll_226|iAG612:cbs_417|iAF692:histd|iSB619:histd|iAF1260:histd|iAbaylyiv4:HISTIDINOL|iND750:histd|iYO844:histd|iNJ661:histd|iJN746:histd	1	-2.41	1.14														
cpd00642	L-Rhamnulose	C6H12O5	C00861	rml	iJR904:rml|iYO844:rml|iAF1260:rml	0	-181.19	0.72														
cpd00644	Pantothenate|Pantothenic acid|(R)-Pantothenate|R-Pantothenate|pantothenate|PAN	C9H16NO5	C00864	pnto-R	iJR904:pnto-R|iAO358:cll_128:cll_480|iAF692:pnto-R|iSB619:pnto-R|iAF1260:pnto-R|iIT341:pnto_R|iAbaylyiv4:PANTOTHENATE|iND750:pnto-R|iYO844:pnto-R|iNJ661:pnto-R|iJN746:pnto-R	-1	-188.54	0.85														
cpd00646	4-Nitrophenol|p-Nitrophenol|PNP|Niphen|4-Hydroxynitrobenzene	C6H5NO3	C00870	NOT IN MODEL		0	UNKNOWN	UNKNOWN														
cpd00650	Crotonoyl-CoA|Crotonyl-CoA|2-Butenoyl-CoA|trans-But-2-enoyl-CoA|But-2-enoyl-CoA|crotonyl-coa	C25H37N7O17P3S	C00877	b2coa	iAbaylyiv4:CROTONYL-COA|iYO844:b2coa|iSB619:b2coa|iAF1260:b2coa|iJN746:b2coa	-3	-761.78	3.58														
cpd00652	D-Galactarate|D-Mucic acid|D-Galactaric acid|d-galactarate	C6H8O8	C00879	galctr-D	iJR904:galct-D|iAbaylyiv4:D-GALACTARATE|iYO844:galctr-D|iAF1260:galct-D	-2	-311.88	0.82														
cpd00654	Deoxycytidine|2'-Deoxycytidine|deoxycytidine	C9H13N3O4	C00881	dcyt	iJR904:dcyt|iAO358:cll_103|iAG612:cbs_268|iAF1260:dcyt|iIT341:dcyt|iAbaylyiv4:DEOXYCYTIDINE|iND750:dcyt|iYO844:dcyt|iPS189:dcyt|iNJ661:dcyt|iJN746:dcyt	0	-93.04	1.84														
cpd00655	Dephospho-CoA|dephospho-CoA|dephospho-coa	C21H33N7O13P2S	C00882	dpcoa	iJR904:dpcoa|iAO358:cll_246|iAF692:dpcoa|iSB619:dpcoa|iAF1260:dpcoa|iIT341:dpcoa|iAbaylyiv4:DEPHOSPHO-COA|iND750:dpcoa|iYO844:dpcoa|iNJ661:dpcoa|iJN746:dpcoa	-2	-539.49	3.46														
cpd00658	Isochorismate|Isochorismic acid|isochorismate	C10H8O6	C00885	ichor	iJR904:ichor|iAO358:cll_267|iSB619:ichor|iAF1260:ichor|iIT341:ichor|iAbaylyiv4:ISOCHORISMATE|iYO844:ichor|iNJ661:ichor	-2	-169.49	1.41														
cpd00666	"(R,R)-Tartaric acid|(R,R)-Tartrate|L-Tartaric acid|Tartaric acid|Tartrate|2,3-Dihydroxybutanedioic acid|(2R,3R)-Tartaric acid|(+)-Tartaric acid|L-tartrate|(S,S)-Tartaric acid|(S,S)-Tartrate|D-Tartrate|D-Tartaric acid|(2S,3S)-Tartaric acid|(-)-Tartaric acid|L-tartarate"	C4H4O6	C00898|C02107	tartr-L	iJR904:tartr-L|iYO844:tartr-L|iNJ661:tartr-L|iAF1260:tartr-L	-2	-239.04	0.45														
cpd00668	2-Acetolactate|(S)-2-Acetolactate|(S)-2-Hydroxy-2-methyl-3-oxobutanoate|S-2-Acetolactate|2-acetolactate|ALCTT|2-aceto-lactate	C5H7O4	C00900|C06010	alac-S	iJR904:alac-S|iAO358:cll_31:cll_442|iAG612:cbs_49|iAF692:alac-S|iSB619:alac-S|iAF1260:alac-S|iIT341:alac_S|iAbaylyiv4:2-ACETO-LACTATE|iND750:alac-S|iYO844:alac-S|iNJ661:alac-S|iJN746:alac-S	-1	-153.18	0.44														
cpd00672	D-Fructuronate|D-fructuronate|D-Fructuronic acid	C6H9O7	C00905	fruur	iJR904:fruur|iAO358:cll_381|iAG612:cbs_290|iYO844:fruur|iAF1260:fruur	-1	-262.39	1.30														
cpd00679	Cephalosporin C	C16H20N3O8S	C00916	NOT IN MODEL		-1	-256.55	1.98														
cpd00681	Choline sulfate	C5H13NO4S	C00919	chols	iYO844:chols|iJN746:chols	0	-102.31	2.09														
cpd00683	"Dihydropteroate|7,8-Dihydropteroate|dihydropteroate|7,8-dihydropteroate"	C14H13N6O3	C00921	dhpt	"iJR904:dhpt|iAO358:cll_180|iAF692:dhpt|iSB619:dhpt|iAF1260:dhpt|iIT341:dhpt|iAbaylyiv4:7,8-DIHYDROPTEROATE|iND750:dhpt|iYO844:dhpt|iNJ661:dhpt|iJN746:dhpt"	-1	-2.14	2.78														
cpd00689	Porphobilinogen|porphobilinogen	C10H13N2O4	C00931	ppbng	iJR904:ppbng|iAF692:ppbng|iSB619:ppbng|iAF1260:ppbng|iIT341:ppbng|iAbaylyiv4:PORPHOBILINOGEN|iND750:ppbng|iYO844:ppbng|iNJ661:ppbng|iJN746:ppbng	-1	-118.18	1.37														
cpd00699	3-Dehydroquinate|5-Dehydroquinate|3-Dehydroquinic acid|5-Dehydroquinic acid|3-dehydroquinate	C7H9O6	C00944	3dhq	iJR904:3dhq|iAO358:cll_71|iAG612:cbs_70|iAF692:3dhq|iSB619:3dhq|iAF1260:3dhq|iIT341:3dhq|iAbaylyiv4:DEHYDROQUINATE|iND750:3dhq|iYO844:3dhq|iNJ661:3dhq|iJN746:3dhq	-1	-214.49	0.92														
cpd00700	Adenosine 2'-phosphate|2'-Adenylic acid|Adenosine-2'-monophosphate|AMP 2'-phosphate	C10H13N5O7P	C00946	NOT IN MODEL		-1	-257.85	3.03														
cpd00703	Indole-3-acetate|Indole-3-acetic acid|(Indol-3-yl)acetate|Indoleacetate|Indoleacetic acid	C10H8NO2	C00954	NOT IN MODEL	iAF692:ind3ac|iND750:ind3ac	-1	-23.83	1.56														
cpd00712	2-Dehydropantoate|2-dehydropantoate	C6H9O4	C00966	2dhp	iJR904:2dhp|iAO358:cll_301|iAF692:2dhp|iSB619:2dhp|iAF1260:2dhp|iIT341:2dhp|iAbaylyiv4:2-DEHYDROPANTOATE|iND750:2dhp|iYO844:2dhp|iNJ661:2dhp|iJN746:2dhp	-1	-149.10	0.49														
cpd00722	O-Acetyl-L-serine|O3-Acetyl-L-serine|O-acetyl-L-serine|o-acetyl-l-serine	C5H9NO4	C00979	acser	iJR904:acser|iAO358:cll_136|iAG612:cbs_164|iAF692:acser|iSB619:acser|iAF1260:acser|iIT341:acser|iAbaylyiv4:ACETYLSERINE|iND750:acser|iYO844:acser|iNJ661:acser|iJN746:acser	0	-161.60	0.52														
cpd00727	2-Phosphoglycolate|Phosphoglycolic acid|2-phosphoglycolate	C2H3O6P	C00988	2pglyc	iJR904:2pglyc|iAbaylyiv4:CPD-67|iAF692:2pglyc|iYO844:2pglyc|iNJ661:2pglyc|iSB619:2pglyc|iAF1260:2pglyc	-2	-335.48	0.21														
cpd00731	D-Alanyl-D-alanine|D-Ala-D-Ala|D-alanyl-D-alanine|d-alanyl-d-alanine	C6H12N2O3	C00993	alaala	iJR904:alaala|iAO358:cll_143|iSB619:alaala|iAF1260:alaala|iIT341:alaala|iAbaylyiv4:D-ALA-D-ALA|iYO844:alaala|iNJ661:alaala|iJN746:alaala	0	-118.69	0.78														
cpd00738	phosphoserine|O-Phospho-L-serine|L-O-Phosphoserine|3-Phosphoserine|Dexfosfoserine|3-phospho-serine	C3H7NO6P	C01005	pser-L	iJR904:pser-L|iAO358:cll_360|iAG612:cbs_124|iAF692:pser-L|iSB619:pser-L|iAF1260:pser-L|iIT341:pser_L|iAbaylyiv4:3-P-SERINE|iND750:pser-L|iYO844:pser-L|iNJ661:pser-L|iJN746:pser-L	-1	-336.65	0.33														
cpd00739	Reduced riboflavin	C17H22N4O6	C01007	ribflvRD	iYO844:ribflvRD|iSB619:rbflvrd|iAF1260:rbflvrd	0	-133.83	2.49														
cpd00742	Urea-1-carboxylate|Allophanate|Allophanic acid|urea-1-carboxylate	C2H3N2O3	C01010	NOT IN MODEL	iAbaylyiv4:CPD-578|iND750:allphn	-1	-127.56	0.95														
cpd00751	6-Deoxy-L-galactose|L-Fucose	C6H12O5	C01019	NOT IN MODEL	iJR904:fuc-L|iAF1260:fuc-L	0	-182.05	1.50														
cpd00755	Hydroxymethylbilane|hydroxymethylbilane	C40H38N4O17	C01024	hmbil	iJR904:hmbil|iAF692:hmbil|iSB619:hmbil|iAF1260:hmbil|iIT341:hmbil|iAbaylyiv4:HYDROXYMETHYLBILANE|iND750:hmbil|iYO844:hmbil|iNJ661:hmbil|iJN746:hmbil	-8	-479.50	6.22														
cpd00760	2-Methylbutanoyl-CoA|2-Methylbutyryl-CoA|2-methylbutyryl-CoA|(S)-2-Methylbutanoyl-CoA|M_2_Methyl_butyryl_CoA	C26H41N7O17P3S	C01033|C15980	2mbcoa	iAG612:cbs_84|iYO844:2mbcoa|iNJ661:2mbcoa|iSB619:2mbcoa|iJN746:2mbcoa	-3	-782.78	3.57														
cpd00762	4-Guanidinobutanoate|4-guanidinobutanoate	C5H11N3O2	C01035	NOT IN MODEL	iAbaylyiv4:CPD-592|iND750:4gudbutn|iJN746:4gudbutn	0	-72.60	1.54														
cpd00764	"7,8-Diaminononanoate|7-8-Diaminononanoate|7,8-diaminononanoate"	C9H21N2O2	C01037	dann	iJR904:dann|iAF692:dann|iSB619:dann|iAF1260:dann|iIT341:dann|iAbaylyiv4:DIAMINONONANOATE|iND750:dann|iYO844:dann|iNJ661:dann	1	-80.99	0.68														
cpd00765	"L-Gulono-1,4-lactone|L-Gulono-gamma-lactone|gamma-Gulonolactone|L-Gulonic acid gamma-lactone|L-Gulonolactone"	C6H10O6	C01040	NOT IN MODEL		0	-215.78	1.15														
cpd00769	N-Formyl-L-aspartate	C5H5NO5	C01044	NOT IN MODEL		-2	-193.70	0.70														
cpd00770	N-Formyl-L-glutamate	C6H7NO5	C01045	NOT IN MODEL	iJN746:Nforglu	-2	-192.08	0.72														
cpd00773	UDP-N-acetylmuramate|UDP-N-acetylmuramic acid|UDP-MurNAc|udp-n-acetylmuramate	C20H28N3O19P2	C01050	uamr	iJR904:uamr|iAO358:cll_280|iAF692:uamr|iSB619:uamr|iAF1260:uamr|iIT341:uamr|iAbaylyiv4:UDP-N-ACETYLMURAMATE|iYO844:uamr|iNJ661:uamr|iJN746:uamr	-3	-820.27	3.25														
cpd00774	Uroporphyrinogen III|UroporphyrinogenIII|uroporphyrinogen-iii	C40H36N4O16	C01051	uppg3	iJR904:uppg3|iAF692:uppg3|iSB619:uppg3|iAF1260:uppg3|iIT341:uppg3|iAbaylyiv4:UROPORPHYRINOGEN-III|iND750:uppg3|iYO844:uppg3|iNJ661:uppg3|iJN746:uppg3	-8	UNKNOWN	UNKNOWN														
cpd00782	6-Carboxyhexanoyl-CoA|Pimeloyl-CoA|6-carboxyhexanoyl-coa	C28H42N7O19P3S	C01063	pmcoa	iIT341:pmcoa|iJR904:pmcoa|iAbaylyiv4:6-CARBOXYHEXANOYL-COA|iAF692:pmcoa|iYO844:pmcoa|iNJ661:pmcoa|iSB619:pmcoa|iAF1260:pmcoa	-4	-857.18	3.62														
cpd00791	Protoporphyrinogen IX|ProtoporphyrinogenIX	C34H38N4O4	C01079	pppg9	iIT341:pppg9|iJR904:pppg9|iAbaylyiv4:PROTOPORPHYRINOGEN|iYO844:pppg9|iND750:pppg9|iNJ661:pppg9|iSB619:pppg9|iAF1260:pppg9|iJN746:pppg9	-2	UNKNOWN	UNKNOWN														
cpd00793	Thiamin monophosphate|Thiamine monophosphate|Thiamin phosphate|Thiamine phosphate|TMP|Thiaminmonophosphate|thiamine monophosphate|thiamine-phosphate	C12H17N4O4PS	C01081	thmmp	iJR904:thmmp|iAO358:cll_366|iAF692:thmmp|iSB619:thmmp|iAF1260:thmmp|iIT341:thmmp|iAbaylyiv4:THIAMINE-P|iND750:thmmp|iYO844:thmmp|iNJ661:thmmp	0	-160.32	2.57														
cpd00794	"alpha,alpha-Trehalose|alpha,alpha'-Trehalose|Trehalose|trehalose|TRHL"	C12H22O11	C01083	tre	iJR904:tre|iAO358:cll_410|iAG612:cbs_520|iSB619:tre|iAF1260:tre|iAbaylyiv4:TREHALOSE|iND750:tre|iYO844:tre|iPS189:tre|iNJ661:tre	0	-376.76	3.02														
cpd00797	(R)-3-Hydroxybutanoate|(R)-3-Hydroxybutanoic acid|(R)-3-Hydroxybutyric acid|(r)-3-hydroxybutanoate	C4H7O3	C01089	NOT IN MODEL	iAbaylyiv4:CPD-335|iNJ661:bhb|iJN746:bhb	-1	-121.55	0.27														
cpd00800	8-Amino-7-oxononanoate|8-Amino-7-oxononanoic acid|8-amino-7-oxononanoate	C9H17NO3	C01092	8aonn	iJR904:8aonn|iAF692:8aonn|iSB619:8aonn|iAF1260:8aonn|iIT341:8aonn|iAbaylyiv4:8-AMINO-7-OXONONANOATE|iND750:8aonn|iYO844:8aonn|iNJ661:8aonn	0	-108.22	0.56														
cpd00802	D-Fructose 1-phosphate|D-Fructose1-phosphate|D-fructose-1-phosphate|D-fructose 1-phosphate|Fructose 1-phosphate|fructose-1-phosphate	C6H12O9P	C01094|C02976	f1p	iJR904:f1p|iAO358:cll_191|iAG612:cbs_289|iAF692:f1p|iSB619:f1p|iAF1260:f1p|iIT341:f1p|iAbaylyiv4:FRU1P|iND750:f1p|iYO844:f1p|iPS189:f1p|iJN746:f1p	-1	-431.67	1.31														
cpd00805	D-Tagatose 6-phosphate|D-tagatose 6-phosphate	C6H12O9P	C01097	tag6p-D	iJR904:tag6p-D|iAO358:cll_247|iYO844:tag6p-D|iND750:tag6p-D|iSB619:tag6p-D|iAF1260:tag6p-D	-1	-431.67	1.31														
cpd00807	L-Histidinol phosphate|L-histidinol-phosphate|l-histidinol-phosphate	C6H12N3O4P	C01100	hisp	iJR904:hisp|iAO358:cll_225|iAG612:cbs_370|iAF692:hisp|iSB619:hisp|iAF1260:hisp|iAbaylyiv4:L-HISTIDINOL-P|iND750:hisp|iYO844:hisp|iNJ661:hisp|iJN746:hisp	0	-214.91	1.15														
cpd00808	L-Ribulose 5-phosphate|L-ribulose-5-phosphate	C5H10O8P	C01101	ru5p-L	iJR904:ru5p-L|iAG612:cbs_442|iYO844:ru5p-L|iNJ661:ru5p-L|iSB619:ru5p-L|iAF1260:ru5p-L	-1	-393.50	0.57														
cpd00809	O-Phospho-L-homoserine|O-phospho-L-homoserine|o-phospho-l-homoserine	C4H9NO6P	C01102	phom	iJR904:phom|iAO358:cll_368|iAG612:cbs_222|iAF692:phom|iSB619:phom|iAF1260:phom|iIT341:phom|iAbaylyiv4:O-PHOSPHO-L-HOMOSERINE|iND750:phom|iYO844:phom|iNJ661:phom|iJN746:phom	-1	-335.03	0.36														
cpd00810	Orotidine 5'-phosphate|Orotidylic acid|Orotidine5-phosphate|orotidine 5-phosphate|orotidine-5'-phosphate	C10H11N2O11P	C01103	orot5p	iJR904:orot5p|iAO358:cll_342|iAG612:cbs_486|iAF692:orot5p|iSB619:orot5p|iAF1260:orot5p|iIT341:orot5p|iAbaylyiv4:OROTIDINE-5-PHOSPHATE|iND750:orot5p|iYO844:orot5p|iNJ661:orot5p|iJN746:orot5p	-2	-479.18	1.90														
cpd00822	O-Succinyl-L-homoserine|O-succinyl-L-homoserine	C8H12NO6	C01118	suchms	iIT341:suchms|iJR904:suchms|iAO358:cll_269|iYO844:suchms|iND750:suchms|iNJ661:suchms|iSB619:suchms|iAF1260:suchms|iJN746:suchms	-1	-236.19	0.64														
cpd00830	4-Hydroxy-2-oxoglutarate|4-Hydroxy-2-oxoglutaric acid|D-4-Hydroxy-2-oxoglutarate	C5H4O6	C01127|C05946	NOT IN MODEL	iIT341:4h2oglt|iAbaylyiv4:D-4-HYDROXY-2-KETO-GLUTARATE|iND750:4h2oglt	-2	-226.94	0.40														
cpd00831	L-Rhamnulose 1-phosphate	C6H12O8P	C01131	rml1p	iJR904:rml1p|iYO844:rml1p|iAF1260:rml1p	-1	-393.69	0.66														
cpd00832	N-Acetyl-D-galactosamine|N-Acetyl-D-chondrosamine|2-Acetamido-2-deoxy-D-galactose	C8H15NO6	C01132	NOT IN MODEL	iAF1260:acgal	0	-212.63	1.63														
cpd00834	Pantetheine 4'-phosphate|4'-Phosphopantetheine|Phosphopantetheine|D-Pantetheine 4'-phosphate|pantetheine 4'-phosphate|Pantetheine4-phosphate	C11H22N2O7PS	C01134	pan4p	iJR904:pan4p|iAO358:cll_10|iAF692:pan4p|iSB619:pan4p|iAF1260:pan4p|iIT341:pan4p|iAbaylyiv4:PANTETHEINE-P|iND750:pan4p|iYO844:pan4p|iNJ661:pan4p|iJN746:pan4p	-1	-347.64	1.57														
