REACTION ID	NAME	REACTION DEFINITION	REACTION EQUATION	ENZYME	ASSOCIATED PEG	SUBSYSTEM CLASS	REACTION CLASS	KEGG	STATUS IN Oh et al model	MODEL IDs	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)	MMDELTAG (kcal/mol)	PREDICTED DIRECTIONALITY	THERMODYNAMIC CLASS
rxn00851	D-AlanineD-Alanine ligase (ADP-forming)|D-alanine-D-alanine ligase (reversible)|D-AlanineD-Alanine ligase (ADP-forming)|ALAALAr|D-alanine-D-alanine ligase|D-alanine-D-alanineligase-reversible|d-alanine--d-alanine ligase	ATP + 2 D-Ala => ADP + Phosphate + H+ + D-Ala-D-Ala	cpd00002 + 2 cpd00117 => cpd00008 + cpd00009 + cpd00067 + cpd00731	6.3.2.4	peg.456	Cell Wall and Capsule	Positive variable	R01150	ALAALA	iJR904:ALAALAr|iAO358:rll_110|iSB619:ALAALAr|iAF1260:ALAALAr|iIT341:ALAALAr|iAbaylyiv4:DALADALALIG-RXN|iYO844:ALAALA|iNJ661:ALAALAr|iJN746:ALAALAr	-6.35	0.86	-6.35	=>	IRREVERSIBLE BY POINTS
rxn00858	Agmatine amidinohydrolase|agmatinase|Agmatine amidinohydrolase|AGMT	H2O + Agmatine <=> PUTR + Urea	cpd00001 + cpd00152 <=> cpd00118 + cpd00073	3.5.3.11	peg.3755	Amino Acids and Derivatives	Blocked	R01157	AGMT	iJR904:AGMT|iAG612:rbs_137|iAF692:AGMT|iSB619:AGMT|iAF1260:AGMT|iIT341:AGMT|iYO844:AGMT|iNJ661:AGMT|iJN746:AGMT	-3.90	1.68	-8.00	<=>	REVERSIBLE BY POINTS
rxn00863	L-Histidinal:NAD+ oxidoreductase|histidinol dehydrogenase	NAD + H2O + L-Histidinal <=> 2 H+ + NADH + L-Histidine	cpd00003 + cpd00001 + cpd01324 <=> 2 cpd00067 + cpd00004 + cpd00119	1.1.1.23	peg.3497	Amino Acids and Derivatives	Positive variable	R01163	NOT IN MODEL	iAbaylyiv4:HISTALDEHYD-RXN|iAG612:rbs_401	-9.80	1.18	-9.80	<=>	REVERSIBLE BY POINTS
rxn00867	L-Histidine ammonia-lyase|histidase|L-Histidine ammonia-lyase|histidase_r|histidine ammonia-lyase	L-Histidine => NH3 + Urocanate	cpd00119 => cpd00013 + cpd00581	4.3.1.3	peg.3940	Amino Acids and Derivatives	Blocked	R01168	HISD1r	iAbaylyiv4:HISTIDINE-AMMONIA-LYASE-RXN|iAG612:rbs_403|iYO844:HISD1r|iSB619:HISDr|iJN746:HISD	-0.19	0.89	-4.29	=>	IRREVERSIBLE BY POINTS
rxn00868	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase|Butanoyl-CoA:NAD+ trans-2-oxidoreductase|acyl-CoA dehydrogenase (butanoyl-CoA)	NAD + Butyryl-CoA <= H+ + NADH + Crotonyl-CoA	cpd00003 + cpd00120 <= cpd00067 + cpd00004 + cpd00650	1.3.1.44|1.3.99.2	peg.3724|peg.3287|peg.452	Carbohydrates	Negative variable	R01171	ACOAD1	iYO844:ACOAD1|iSB619:ACOAD1	16.55	1.19	16.55	<=	IRREVERSIBLE BY DELTAG MINMAX
rxn00871	Butanoyl-CoA:orthophosphate butanoyltransferase|phosphate butyryltransferase	Phosphate + H+ + Butyryl-CoA <=> CoA + Butanoylphosphate	cpd00009 + cpd00067 + cpd00120 <=> cpd00010 + cpd01662	2.3.1.19	peg.2413	Carbohydrates	Variable	R01174	PBUTT	iYO844:PBUTT|iPS189:PBUTT	3.69	1.23	3.69	<=>	REVERSIBLE BY POINTS
rxn00874	Acetyl-CoA:acetyl-CoA C-acetyltransferase|3-ketoacyl-CoA thiolase|acetyl-CoA C-acyltransferase (butanoyl-CoA)|Acetyl-CoA:acetyl-CoA C-acetyltransferase|acetyl-CoA C-acyltransferase (butanoyl-CoA) (r)|3oxoacyl-coa thiolase (c6:0)	Acetyl-CoA + Butyryl-CoA <=> CoA + 3-Oxohexanoyl-CoA	cpd00022 + cpd00120 <=> cpd00010 + cpd03123	2.3.1.9|2.3.1.16	peg.3288|peg.1035|peg.2421	Fatty Acids and Lipids	Positive variable	R01177	ACACT2r	iAbaylyiv4:C6:0-3OXOCOA-THIOLASE-RXN|iYO844:ACACT2r|iSB619:ACACT2r|iAF1260:KAT2|iJN746:KAT2	7.06	1.09	7.06	<=>	REVERSIBLE BY POINT DELTAG CONFLICT
rxn00875	Butanoyl-CoA:acetate CoA-transferase|Acetyl-CoA:butyrate-CoA transferase|acetate coa-transferase	ACET + Butyryl-CoA <=> Acetyl-CoA + Butyrate	cpd00029 + cpd00120 <=> cpd00022 + cpd00211	2.8.3.8	peg.1976+peg.1977	Carbohydrates	Variable	R01179	NOT IN MODEL	iJR904:BUTCT|iAbaylyiv4:R11-RXN|iAF1260:BUTCT	1.54	0.52	1.54	<=>	REVERSIBLE BY MM DELTAG
rxn00877	2-Methylpropanoyl-CoA CoA-carbonylmutase	Isobutyryl-CoA <=> Butyryl-CoA	cpd00481 <=> cpd00120	5.4.99.13	GROWMATCH	Carbohydrates	Variable	R01181	NOT IN MODEL		1.81	0.26	1.81	<=>	REVERSIBLE BY MM DELTAG
rxn00879	myo-Inositol:NAD+ 2-oxidoreductase|inositol 2-dehydrogenase	NAD + Bios I <=> H+ + NADH + 2-Inosose	cpd00003 + cpd00121 <=> cpd00067 + cpd00004 + cpd00524	1.1.1.18	peg.3975|peg.1084	Carbohydrates	Blocked	R01183	INS2D	iAG612:rbs_353|iAF692:INS2D|iYO844:INS2D|iPS189:INS2D	2.30	1.11	2.30	<=>	REVERSIBLE BY POINTS
rxn00881	myo-Inositol 1-phosphate phosphahydrolase|myo-inositol 1-phosphatase	H2O + Inositol 1-phosphate => Phosphate + H+ + Bios I	cpd00001 + cpd00867 => cpd00009 + cpd00067 + cpd00121	3.1.3.25	peg.1469	Carbohydrates	Blocked	R01185	MI1PP	iJR904:MI1PP|iAF692:MI1PP|iYO844:MI1PP|iND750:MI1PP|iNJ661:MI1PP|iSB619:MI1PP|iAF1260:MI1PP	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00882	myo-Inositol 4-phosphate phosphahydrolase|myo-Inositol 4-phosphate phosphahydrolase|myo-inositol 4-phosphatase	H2O + Inositol 4-phosphate => Phosphate + H+ + Bios I	cpd00001 + cpd02230 => cpd00009 + cpd00067 + cpd00121	3.1.3.25	peg.1469	Carbohydrates	Blocked	R01186	NOT IN MODEL	iNJ661:MI4PP	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00883	1D-myo-Inositol 3-phosphate phosphahydrolase|1D-myo-Inositol 3-phosphate phosphahydrolase|myo-inositol 3-phosphatase	H2O + Inositol 3-phosphate => Phosphate + H+ + Bios I	cpd00001 + cpd02484 => cpd00009 + cpd00067 + cpd00121	3.1.3.25	peg.1469	Carbohydrates	Blocked	R01187	NOT IN MODEL	iNJ661:MI3PP	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00892	ATP:N-acetyl-D-glucosamine 6-phosphotransferase|N-acetylglucosamine kinase	ATP + GlcNAc <=> ADP + N-Acetyl-D-glucosamine 6-phosphate	cpd00002 + cpd00122 <=> cpd00008 + cpd00293	2.7.1.59	GROWMATCH	Carbohydrates	Variable	R01201	NOT IN MODEL	iAF1260:ACGAMK	-4.50	0.24	-4.50	<=>	REVERSIBLE BY POINTS
rxn00897	N-Acyl-D-glucosamine 2-epimerase	GlcNAc <=> N-Acetyl-D-mannosamine	cpd00122 <=> cpd00492	5.1.3.8	GROWMATCH	Carbohydrates	Variable	R01207	NOT IN MODEL		0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn00898	2,3-Dihydroxy-3-methylbutanoate hydro-lyase|dihydroxy-acid dehydratase|(R)-2,3-Dihydroxy-3-methylbutanoate hydro-lyase|dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)|dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate), mitochondrial	2,3-Dihydroxy-isovalerate => H2O + 3MOB	cpd02498 => cpd00001 + cpd00123	4.2.1.9	peg.2193	Amino Acids and Derivatives	Variable	R01209|R04441	DHAD1	iJR904:DHAD1|iAO358:rll_210|iAF692:DHAD1|iSB619:DHAD1|iAF1260:DHAD1|iAbaylyiv4:DIHYDROXYISOVALDEHYDRAT-RXN|iND750:DHAD1m|iYO844:DHAD1|iNJ661:DHAD1|iJN746:DHAD1	-6.75	0.68	-6.75	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00902	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase|(CoA-acetylating)|2-isopropylmalate synthase|2-isopropylmalate synthase, mitochondrial	H+ + CoA + 2-Isopropylmalate <= Acetyl-CoA + H2O + 3MOB	cpd00067 + cpd00010 + cpd01646 <= cpd00022 + cpd00001 + cpd00123	2.3.3.13|4.1.3.12	peg.2831	Amino Acids and Derivatives	Negative variable	R01213	IPPS	iJR904:IPPS|iAO358:rll_227|iAG612:rbs_108|iAF692:IPPS|iSB619:IPPS|iAF1260:IPPS|iAbaylyiv4:2-ISOPROPYLMALATESYN-RXN|iND750:IPPSm:IPPS|iYO844:IPPS|iNJ661:IPPS|iJN746:IPPS	8.93	1.31	8.93	<=	IRREVERSIBLE BY POINTS
rxn00903	L-Valine:2-oxoglutarate aminotransferase|valine transaminase|L-Valine:2-oxoglutarate aminotransferase|VALTA|branched-chain amino acid aminotransferase|valinetransaminase|valine aminotransferase	2-Oxoglutarate + L-Valine <=> GLU + 3MOB	cpd00024 + cpd00156 <=> cpd00023 + cpd00123	2.6.1.6|2.6.1.42	peg.240|peg.3860	Amino Acids and Derivatives	Variable	R01214	VALTA	iJR904:VALTA|iAO358:rll_67|iAG612:rbs_47:rbs_48|iAF692:VALTA|iSB619:VALTA|iAF1260:VALTA|iIT341:VALTA|iAbaylyiv4:BRANCHED-CHAINAMINOTRANSFERVAL-RXN|iND750:VALTA|iYO844:VALTA|iNJ661:VALTA|iJN746:VALTA	0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn00907	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase|methylenetetrahydrofolate dehydrogenase (NADP)|methylenetetrahydrofolate dehydrogenase (NADP), mitochondrial|5,10-methylenetetrahydrofolate:NADP+ oxidoreductase|MTHFD|methylenetetrahydrofolate dehydrogenase (NADP(+)) / methenyltetrahydrofolate cyclohydrolase|methylenetetrahydrofolatedehydrogenase-NADP|methylenetetrahydrofolate dehydrogenase (nadp+)	TPN + 5,10-Methylene-THF <=> TPNH + 5,10-Methenyltetrahydrofolate	cpd00006 + cpd00125 <=> cpd00005 + cpd00347	1.5.1.5	peg.2435	Carbohydrates	Variable	R01220	MTHFD	iJR904:MTHFD|iAO358:rll_145|iSB619:MTHFD|iAF1260:MTHFD|iIT341:MTHFD|iAbaylyiv4:METHYLENETHFDEHYDROG-NADP-RXN|iND750:MTHFDm:MTHFD|iYO844:MTHFD|iPS189:MTHFD|iNJ661:MTHFD|iJN746:MTHFD	1.92	1.94	1.92	<=>	REVERSIBLE BY MM DELTAG
rxn00908	glycine synthase|Glycine Cleavage System|glycine cleavage system, mitochondrial|glycine cleavage system, cytosol	NAD + Gly + THF => NADH + CO2 + NH3 + 5,10-Methylene-THF	cpd00003 + cpd00033 + cpd00087 => cpd00004 + cpd00011 + cpd00013 + cpd00125	2.1.2.10	peg.2459+peg.2460+peg.2461+peg.3285	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R01221	NOT IN MODEL	iJR904:GLYCL|iND750:GLYCLm|iNJ661:GLYCL|iAF1260:GLYCL|iJN746:GLYCL:GLYCL_2	2.09	2.39	-3.37	=>	IRREVERSIBLE BY POINTS
rxn00910	5-methyltetrahydrofolate:NADP+ oxidoreductase|5,10-methylenetetrahydrofolatereductase (NADPH)|5,10-methylenetetrahydrofolate reductase (NADP)	TPN + 5-Methyltetrahydrofolate <=> H+ + TPNH + 5,10-Methylene-THF	cpd00006 + cpd00345 <=> cpd00067 + cpd00005 + cpd00125	1.5.1.20	peg.1101	Cofactors, Vitamins, Prosthetic Groups, Pigments	Variable	R01224	MTHFR1	iAF692:MTHFR3|iYO844:MTHFR1|iND750:MTHFR3|iJN746:MTHFR3	3.79	1.93	3.79	<=>	REVERSIBLE BY POINTS
rxn00912	5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate|hydroxymethyltransferase|3-methyl-2-oxobutanoate hydroxymethyltransferase|hydroxymethyltransferase|MOHMT|3-methyl-2-oxobutanoatehydroxymethyltransferase	H2O + 5,10-Methylene-THF + 3MOB <=> THF + 2-Dehydropantoate	cpd00001 + cpd00125 + cpd00123 <=> cpd00087 + cpd00712	2.1.2.11	peg.2247	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R01226	MOHMT	iJR904:MOHMT|iAF692:MOHMT|iSB619:MOHMT|iAF1260:MOHMT|iIT341:MOHMT|iAbaylyiv4:3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN|iND750:MOHMT|iYO844:MOHMT|iNJ661:MOHMT|iJN746:MOHMT	-1.47	1.86	-1.47	<=>	REVERSIBLE BY MM DELTAG
rxn00913	Guanosine 5'-monophosphate phosphohydrolase|5'-nucleotidase (GMP)|nucleotidase|dgmp nucleotidase	H2O + GMP => Phosphate + H+ + Guanosine	cpd00001 + cpd00126 => cpd00009 + cpd00067 + cpd00311	3.1.3.5	peg.784|peg.733	Nucleosides and Nucleotides	Positive variable	R01227	NTD9	iJR904:NTD9|iAbaylyiv4:RXN-7609|iAO358:rll_296|iYO844:NTD9|iND750:NTD9|iNJ661:NTD9|iAF1260:NTD9:NTD9pp|iJN746:NTD9:NTD9pp	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00915	GMP:pyrophosphate phosphoribosyltransferase|guanine phosphoribosyltransferase|GMP:pyrophosphate phosphoribosyltransferase|GUAPRT|hypoxanthine-guanine phosphoribosyltransferase|hypoxantine-guanine phosphorybosyltransferase|guaninephosphoribosyltransferase	PPi + GMP <= GNN + PRPP	cpd00012 + cpd00126 <= cpd00207 + cpd00103	2.4.2.7|2.4.2.8|2.4.2.22	peg.68	Nucleosides and Nucleotides	Blocked	R01229	GUAPRTr	iJR904:GUAPRT|iAO358:rll_201:rll_203|iAG612:rbs_330|iAF692:GUAPRT|iSB619:GUAPRT|iAF1260:GUAPRT|iIT341:GUAPRT|iAbaylyiv4:GUANPRIBOSYLTRAN-RXN|iND750:GUAPRT|iYO844:GUAPRTr|iPS189:GUAPRTr|iNJ661:GUAPRT|iJN746:GUAPRT	3.01	0.98	3.01	<=	IRREVERSIBLE BY POINTS
rxn00916	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)|Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)|GMP synthase	ATP + NH3 + XMP <=> H+ + PPi + AMP + GMP	cpd00002 + cpd00013 + cpd00497 <=> cpd00067 + cpd00012 + cpd00018 + cpd00126	6.3.4.1	GROWMATCH	Nucleosides and Nucleotides	Variable	R01230	NOT IN MODEL	iAF692:GMPS	0.64	1.27	0.64	<=>	REVERSIBLE BY MM DELTAG
rxn00917	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)|GMP synthase|GMP synthase (glutamine-hydrolysing)|Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)|GMPS2|GMPsynthase|gmp synthase (glutamine-hydrolysing)	ATP + H2O + L-Glutamine + XMP => H+ + PPi + AMP + GLU + GMP	cpd00002 + cpd00001 + cpd00053 + cpd00497 => cpd00067 + cpd00012 + cpd00018 + cpd00023 + cpd00126	6.3.5.2	peg.636	Nucleosides and Nucleotides	Positive variable	R01231	GMPS2	iJR904:GMPS2|iAO358:rll_185|iAG612:rbs_191|iAF692:GMPS2|iSB619:GMPS2|iAF1260:GMPS2|iIT341:GMPS2|iAbaylyiv4:GMP-SYN-GLUT-RXN|iND750:GMPS2|iYO844:GMPS2|iNJ661:GMPS2|iJN746:GMPS2	-4.08	1.38	-8.18	=>	IRREVERSIBLE BY POINTS
rxn00926	Adenine aminohydrolase|adenine deaminase|Adenine aminohydrolase|ADD|adeninedeaminase	H+ + H2O + Adenine => NH3 + HYXN	cpd00067 + cpd00001 + cpd00128 => cpd00013 + cpd00226	3.5.4.2	peg.1454|peg.657	Nucleosides and Nucleotides	Positive variable	R01244	ADD	iIT341:ADD|iJR904:ADD|iAG612:rbs_125|iAF692:ADD|iYO844:ADD|iND750:ADD|iAF1260:ADD	-8.48	1.32	-12.58	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00929	L-Proline:NAD+ 5-oxidoreductase|proline oxidase (NAD), mitochondrial|proline oxidase (L-proline, NAD)|L-Proline:NAD+ 5-oxidoreductase|pyrroline-5-carboxylate reductase	NAD + L-Proline <=> H+ + NADH + 1-Pyrroline-5-carboxylate	cpd00003 + cpd00129 <=> cpd00067 + cpd00004 + cpd02431	1.5.1.2	peg.1293|peg.1852|peg.2385|peg.321	Amino Acids and Derivatives	Variable	R01248	PRO1x	iAF692:P5CRx|iYO844:PRO1x|iND750:PRO1xm|iNJ661:P5CRx	-0.99	1.25	-0.99	<=>	REVERSIBLE BY MM DELTAG
rxn00931	L-Proline:NADP+ 5-oxidoreductase|pyrroline-5-carboxylate reductase|L-Proline:NADP+ 5-oxidoreductase|P5CR|pyrroline-5-carboxylatereductase	TPN + L-Proline <=> H+ + TPNH + 1-Pyrroline-5-carboxylate	cpd00006 + cpd00129 <=> cpd00067 + cpd00005 + cpd02431	1.5.1.2	peg.1293|peg.1852|peg.2385	Amino Acids and Derivatives	Variable	R01251	P5CR	iJR904:P5CR|iAO358:rll_337|iAG612:rbs_12:rbs_13:rbs_14:rbs_421|iSB619:P5CR|iAF1260:P5CR|iIT341:P5CR|iAbaylyiv4:PYRROLINECARBREDUCT-RXN|iND750:P5CR|iYO844:P5CR|iNJ661:P5CR|iJN746:P5CR	-0.99	1.25	-0.99	<=>	REVERSIBLE BY MM DELTAG
rxn00938	Nicotinamide amidohydrolase|nicotinamidase|nicotinamidase, reversible, mitochondrial|nicotinamidase, reversible|nicotinaminase	H2O + NICO => NH3 + Niacin	cpd00001 + cpd00133 => cpd00013 + cpd00218	3.5.1.19	peg.3179|peg.17	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R01268	NNAM	iJR904:NNAM|iAO358:rll_614|iSB619:NNAM|iAF1260:NNAM|iAbaylyiv4:NICOTINAMID-RXN|iND750:NNAMrm:NNAMr|iYO844:NNAM|iNJ661:NNAM	-4.72	0.88	-8.82	=>	IRREVERSIBLE BY POINTS
rxn00947	Palmitate:CoA ligase (AMP-forming)|FACOAL160|fatty-acid--CoA ligase (hexadecanoate)|fatty-acid--CoA ligase (hexadecanoate), peroxisomal|acyl coa transferase (c16:0)	ATP + H+ + CoA + Palmitate => PPi + AMP + Palmitoyl-CoA	cpd00002 + cpd00067 + cpd00010 + cpd00214 => cpd00012 + cpd00018 + cpd00134	6.2.1.3	peg.1027|peg.2859|peg.417|peg.1036|peg.1829|peg.1720	Fatty Acids and Lipids	Blocked	R01280	FACOAL160	iAbaylyiv4:C16:0-COATRANSFERASE-RXN|iYO844:FACOAL160|iND750:FACOAL160p:FACOAL160|iNJ661:FACOAL160|iSB619:FACOAL160	-2.49	1.23	-2.49	=>	IRREVERSIBLE BY POINTS
rxn00950	Cystathionine L-homocysteine-lyase (deaminating)|L-Cystathionine L-homocysteine-lyase (deaminating)|cystathionine b-lyase|cystathione b-lyase, peroxisomal|Cystathionine L-homocysteine-lyase (deaminating)|cystathionine beta-lyase	H2O + Cystathionine => Pyruvate + NH3 + L-Homocysteine	cpd00001 + cpd00424 => cpd00020 + cpd00013 + cpd00135	4.4.1.8	peg.1189	Amino Acids and Derivatives	Positive variable	R01285|R01286	CYSTL	iJR904:CYSTL|iAO358:rll_248|iAG612:rbs_212:rbs_213|iSB619:CYSTL|iAF1260:CYSTL|iAbaylyiv4:CYSTATHIONINE-BETA-LYASE-RXN|iND750:CYSTLp:CYSTL|iYO844:CYSTL|iNJ661:CYSTL|iJN746:CYSTL	-1.84	1.26	-10.03	=>	IRREVERSIBLE BY POINTS
rxn00953	L-Serine hydro-lyase (adding homocysteine)|cystathionine b-synthase|cystathionine beta-synthase	Serine + L-Homocysteine <=> H2O + Cystathionine	cpd00054 + cpd00135 <=> cpd00001 + cpd00424	4.2.1.22	peg.2729	Amino Acids and Derivatives	Variable	R01289|R01290	CYSTS	iAO358:rll_591|iYO844:CYSTS|iND750:CYSTS|iNJ661:CYSTS	-5.67	1.10	-1.57	<=>	REVERSIBLE BY MM DELTAG
rxn00955	S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase|[(4S)-4,5-dihydroxypentan-2,3-dione-forming]|5-deoxyribos-5-ylhomocysteinase	H2O + S-Ribosylhomocysteine <=> L-Homocysteine + D-Ribose	cpd00001 + cpd02227 <=> cpd00135 + cpd00105	4.4.1.21	MANUAL	Amino Acids and Derivatives	Variable		RHCYS	iYO844:RHCYS	5.67	1.10	1.57	<=>	REVERSIBLE BY MM DELTAG
rxn00965	4-Hydroxybenzoyl-CoA hydrolase	H2O + 4-Hydroxybenzoyl-CoA => H+ + CoA + 4-Hydroxybenzoate	cpd00001 + cpd01892 => cpd00067 + cpd00010 + cpd00136	3.1.2.23	peg.1807	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R01301	NOT IN MODEL		-5.76	1.21	-9.86	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00973	citrate hydro-lyase|Aconitate hydratase, mitochondrial|aconitase|citrate hydro-lyase|ACONT	Citrate <=> Isocitrate	cpd00137 <=> cpd00260	4.2.1.3	peg.1804	Carbohydrates	Variable	R01324	ACONT	iJR904:ACONT|iAO358:rll_93|iAG612:rbs_208|iAF692:ACONT|iSB619:ACONT|iIT341:ACONT|iND750:ACONTm:ACONT|iYO844:ACONT|iNJ661:ACONT|iJN746:ACONT	1.42	0.44	1.42	<=>	REVERSIBLE BY MM DELTAG
rxn00974	citrate hydro-lyase|aconitase (half-reaction A, Citrate hydro-lyase)|aconitase (citrate hydro-lyase)	Citrate <=> H2O + cis-Aconitate	cpd00137 <=> cpd00001 + cpd00331	4.2.1.3|4.2.1.4	peg.1804	Carbohydrates	Variable	R01325	NOT IN MODEL	iAbaylyiv4:ACONITATEDEHYDR-RXN|iAF1260:ACONTa|iJN746:ACONTa	1.47	0.90	1.47	<=>	REVERSIBLE BY MM DELTAG
rxn00979	glycolaldehyde:NAD+ oxidoreductase|Glycolaldehyde dehydrogenase|glycolaldehyde:NAD+ oxidoreductase|GCALDDr|Glycolaldehydedehydrogenase|glycolaldehyde dehydrogenase	NAD + H2O + Glycolaldehyde <=> 2 H+ + NADH + Glycolate	cpd00003 + cpd00001 + cpd00229 <=> 2 cpd00067 + cpd00004 + cpd00139	1.2.1.21	peg.3888|peg.3991|peg.1936|peg.735|peg.3801	Fatty Acids and Lipids	Positive variable	R01333	GCALDD	iIT341:GCALDDr|iJR904:GCALDD|iAbaylyiv4:GLYCOLALD-DEHYDROG-RXN|iYO844:GCALDD|iSB619:GCALDD|iAF1260:GCALDD|iJN746:GCALDD	-9.80	1.18	-9.80	<=>	REVERSIBLE BY POINTS
rxn00980	2-Phosphoglycolate phosphohydrolase|Phosphoglycolate phosphatase|phosphoglycolate phosphatase	H2O + 2-Phosphoglycolate => Phosphate + H+ + Glycolate	cpd00001 + cpd00727 => cpd00009 + cpd00067 + cpd00139	3.1.3.18	GROWMATCH	Carbohydrates	Blocked	R01334	PGLYCP	iJR904:PGLYCP|iAbaylyiv4:GPH-RXN|iAF692:PGLYCP|iYO844:PGLYCP|iNJ661:PGLYCP|iSB619:PGLYCP|iAF1260:PGLYCP	-2.32	0.74	-6.42	=>	IRREVERSIBLE BY POINTS
rxn00985	ATP:acetate phosphotransferase|Propionate kinase|propionate kinase	ATP + H+ + Propanoate <=> ADP + Propanoyl phosphate	cpd00002 + cpd00067 + cpd00141 <=> cpd00008 + cpd01844	2.7.2.1|2.7.2.15	peg.2950	Carbohydrates	Negative variable	R01353	PPAK	iJR904:PPAKr|iAbaylyiv4:PROPKIN-RXN|iAF692:PPAKr|iYO844:PPAK|iPS189:PPAK|iAF1260:PPAKr	2.63	0.29	2.63	<=>	REVERSIBLE BY POINTS
rxn00988	Acetoacetate:CoA ligase (AMP-forming)	ATP + H+ + CoA + Acetoacetate => Acetoacetyl-CoA + PPi + AMP	cpd00002 + cpd00067 + cpd00010 + cpd00142 => cpd00279 + cpd00012 + cpd00018	6.2.1.16	peg.1829	Fatty Acids and Lipids	Positive variable	R01357	NOT IN MODEL		-2.49	1.23	-2.49	=>	IRREVERSIBLE BY POINTS
rxn00991	(S)-3-Hydroxy-3-methylglutaryl-CoA acetoacetate-lyase|hydroxymethylglutaryl-CoA lyase	HMG-CoA <=> Acetyl-CoA + Acetoacetate	cpd00292 <=> cpd00022 + cpd00142	4.1.3.4	peg.1826	Amino Acids and Derivatives	Variable	R01360	HMGL	iAG612:rbs_60|iYO844:HMGL|iJN746:HMGL	0.71	0.40	-3.39	<=>	REVERSIBLE BY POINTS
rxn00992	(R)-3-Hydroxybutanoate:NAD+ oxidoreductase|3-hydroxybutyrate dehydrogenase	NAD + (R)-3-Hydroxybutanoate <=> H+ + NADH + Acetoacetate	cpd00003 + cpd00797 <=> cpd00067 + cpd00004 + cpd00142	1.1.1.30	peg.3902	Carbohydrates	Blocked	R01361	NOT IN MODEL	iAbaylyiv4:3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN|iNJ661:BDH|iJN746:BDH	3.76	1.08	3.76	<=>	REVERSIBLE BY POINTS
rxn00994	Butanoyl-CoA:acetoacetate CoA-transferase	Butyryl-CoA + Acetoacetate <=> Acetoacetyl-CoA + Butyrate	cpd00120 + cpd00142 <=> cpd00279 + cpd00211	2.8.3.9	peg.3903+peg.3904	Carbohydrates	Variable	R01365	NOT IN MODEL		0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
rxn01000	Prephenate hydro-lyase (decarboxylating)|prephenate dehydratase|Prephenate hydro-lyase (decarboxylating)|PPNDH|prephenatedehydratase	H+ + Prephenate => H2O + CO2 + Phenylpyruvate	cpd00067 + cpd00219 => cpd00001 + cpd00011 + cpd00143	4.2.1.51|4.2.1.91	peg.2793	Amino Acids and Derivatives	Positive variable	R01373	PPNDH	iJR904:PPNDH|iAO358:rll_325|iAG612:rbs_520|iAF692:PPNDH|iSB619:PPNDH|iAF1260:PPNDH|iIT341:PPNDH|iAbaylyiv4:PREPHENATEDEHYDRAT-RXN|iND750:PPNDH|iYO844:PPNDH|iNJ661:PPNDH|iJN746:PPNDH	-29.07	1.65	-34.53	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn01010	UDPglucuronate 5'-epimerase	UDPglucuronate <=> UDP-L-iduronate	cpd00144 <=> cpd01556	5.1.3.12	peg.3090	Carbohydrates	Blocked	R01387	NOT IN MODEL		0.00	2.00	0.00	<=>	REVERSIBLE BY MM DELTAG
