Unoptimized model						Gap filled model						Optimized model				
False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives	
Correct positive	Gene KO	ArgonneLBMedia	peg.3027	rxn02296		Correct positive	Gene KO	ArgonneLBMedia	peg.3027	rxn02296		Correct positive	Gene KO	ArgonneLBMedia	peg.3027	rxn02296
Correct positive	Gene KO	ArgonneLBMedia	peg.3030			Correct positive	Gene KO	ArgonneLBMedia	peg.3030			Correct positive	Gene KO	ArgonneLBMedia	peg.3030	
Correct positive	Gene KO	ArgonneLBMedia	peg.3031			Correct positive	Gene KO	ArgonneLBMedia	peg.3031			Correct positive	Gene KO	ArgonneLBMedia	peg.3031	
Correct positive	Gene KO	ArgonneLBMedia	peg.3032			Correct positive	Gene KO	ArgonneLBMedia	peg.3032			Correct positive	Gene KO	ArgonneLBMedia	peg.3032	
Correct positive	Gene KO	ArgonneLBMedia	peg.3033	"rxn00818,rxn03838,rxn00817,rxn02596"		Correct positive	Gene KO	ArgonneLBMedia	peg.3033	"rxn00818,rxn03838,rxn00817,rxn02596"		Correct positive	Gene KO	ArgonneLBMedia	peg.3033	"rxn00818,rxn03838,rxn00817,rxn02596"
Correct positive	Gene KO	ArgonneLBMedia	peg.3044			Correct positive	Gene KO	ArgonneLBMedia	peg.3044			Correct positive	Gene KO	ArgonneLBMedia	peg.3044	
Correct positive	Gene KO	ArgonneLBMedia	peg.3045			Correct positive	Gene KO	ArgonneLBMedia	peg.3045			Correct positive	Gene KO	ArgonneLBMedia	peg.3045	
Correct positive	Gene KO	ArgonneLBMedia	peg.3048			Correct positive	Gene KO	ArgonneLBMedia	peg.3048			Correct positive	Gene KO	ArgonneLBMedia	peg.3048	
Correct positive	Gene KO	ArgonneLBMedia	peg.3057			Correct positive	Gene KO	ArgonneLBMedia	peg.3057			Correct positive	Gene KO	ArgonneLBMedia	peg.3057	
Correct positive	Gene KO	ArgonneLBMedia	peg.3059	rxn00247		Correct positive	Gene KO	ArgonneLBMedia	peg.3059	rxn00247		Correct positive	Gene KO	ArgonneLBMedia	peg.3059	rxn00247
Correct positive	Gene KO	ArgonneLBMedia	peg.306	rxn00499		Correct positive	Gene KO	ArgonneLBMedia	peg.306	rxn00499		Correct positive	Gene KO	ArgonneLBMedia	peg.306	rxn00499
Correct positive	Gene KO	ArgonneLBMedia	peg.307			Correct positive	Gene KO	ArgonneLBMedia	peg.307			Correct positive	Gene KO	ArgonneLBMedia	peg.307	
Correct positive	Gene KO	ArgonneLBMedia	peg.3070	rxn05958		Correct positive	Gene KO	ArgonneLBMedia	peg.3070	rxn05958		Correct positive	Gene KO	ArgonneLBMedia	peg.3070	rxn05958
Correct positive	Gene KO	ArgonneLBMedia	peg.3072			Correct positive	Gene KO	ArgonneLBMedia	peg.3072			Correct positive	Gene KO	ArgonneLBMedia	peg.3072	
Correct positive	Gene KO	ArgonneLBMedia	peg.3074			Correct positive	Gene KO	ArgonneLBMedia	peg.3074			Correct positive	Gene KO	ArgonneLBMedia	peg.3074	
Correct positive	Gene KO	ArgonneLBMedia	peg.3075			Correct positive	Gene KO	ArgonneLBMedia	peg.3075			Correct positive	Gene KO	ArgonneLBMedia	peg.3075	
Correct positive	Gene KO	ArgonneLBMedia	peg.3077	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3077	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3077	rxn05149
Correct positive	Gene KO	ArgonneLBMedia	peg.3078	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3078	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3078	rxn05149
Correct positive	Gene KO	ArgonneLBMedia	peg.3079	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3079	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3079	rxn05149
Correct positive	Gene KO	ArgonneLBMedia	peg.308	rxn05641		Correct positive	Gene KO	ArgonneLBMedia	peg.308	rxn05641		Correct positive	Gene KO	ArgonneLBMedia	peg.308	rxn05641
Correct positive	Gene KO	ArgonneLBMedia	peg.3080	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3080	rxn05149		Correct positive	Gene KO	ArgonneLBMedia	peg.3080	rxn05149
Correct positive	Gene KO	ArgonneLBMedia	peg.3084	rxn11703		Correct positive	Gene KO	ArgonneLBMedia	peg.3084	rxn11703		Correct positive	Gene KO	ArgonneLBMedia	peg.3084	rxn11703
Correct positive	Gene KO	ArgonneLBMedia	peg.3086			Correct positive	Gene KO	ArgonneLBMedia	peg.3086			Correct positive	Gene KO	ArgonneLBMedia	peg.3086	
Correct positive	Gene KO	ArgonneLBMedia	peg.3088			Correct positive	Gene KO	ArgonneLBMedia	peg.3088			Correct positive	Gene KO	ArgonneLBMedia	peg.3088	
Correct positive	Gene KO	ArgonneLBMedia	peg.3089			Correct positive	Gene KO	ArgonneLBMedia	peg.3089			Correct positive	Gene KO	ArgonneLBMedia	peg.3089	
Correct positive	Gene KO	ArgonneLBMedia	peg.3090	rxn01010		Correct positive	Gene KO	ArgonneLBMedia	peg.3090	rxn01010		Correct positive	Gene KO	ArgonneLBMedia	peg.3090	rxn01010
Correct positive	Gene KO	ArgonneLBMedia	peg.3097	rxn05740		Correct positive	Gene KO	ArgonneLBMedia	peg.3097	rxn05740		Correct positive	Gene KO	ArgonneLBMedia	peg.3097	rxn05740
Correct positive	Gene KO	ArgonneLBMedia	peg.3098	rxn08615		Correct positive	Gene KO	ArgonneLBMedia	peg.3098	rxn08615		Correct positive	Gene KO	ArgonneLBMedia	peg.3098	rxn08615
Correct positive	Gene KO	ArgonneLBMedia	peg.3099	rxn00695		Correct positive	Gene KO	ArgonneLBMedia	peg.3099	rxn00695		Correct positive	Gene KO	ArgonneLBMedia	peg.3099	rxn00695
Correct positive	Gene KO	ArgonneLBMedia	peg.3100	rxn00695		Correct positive	Gene KO	ArgonneLBMedia	peg.3100	rxn00695		Correct positive	Gene KO	ArgonneLBMedia	peg.3100	rxn00695
Correct positive	Gene KO	ArgonneLBMedia	peg.3101	rxn09399		Correct positive	Gene KO	ArgonneLBMedia	peg.3101	rxn09399		Correct positive	Gene KO	ArgonneLBMedia	peg.3101	rxn09399
Correct positive	Gene KO	ArgonneLBMedia	peg.3108	rxn10062		Correct positive	Gene KO	ArgonneLBMedia	peg.3108	rxn10062		Correct positive	Gene KO	ArgonneLBMedia	peg.3108	rxn10062
Correct positive	Gene KO	ArgonneLBMedia	peg.3109	"rxn01868,rxn01867"		Correct positive	Gene KO	ArgonneLBMedia	peg.3109	"rxn01868,rxn01867"		Correct positive	Gene KO	ArgonneLBMedia	peg.3109	"rxn01868,rxn01867"
Correct positive	Gene KO	ArgonneLBMedia	peg.3112			Correct positive	Gene KO	ArgonneLBMedia	peg.3112			Correct positive	Gene KO	ArgonneLBMedia	peg.3112	
Correct positive	Gene KO	ArgonneLBMedia	peg.3113			Correct positive	Gene KO	ArgonneLBMedia	peg.3113			Correct positive	Gene KO	ArgonneLBMedia	peg.3113	
Correct positive	Gene KO	ArgonneLBMedia	peg.3115			Correct positive	Gene KO	ArgonneLBMedia	peg.3115			Correct positive	Gene KO	ArgonneLBMedia	peg.3115	
False negative	Gene KO	ArgonneLBMedia	peg.3118	rxn03901		False negative	Gene KO	ArgonneLBMedia	peg.3118	rxn03901		False negative	Gene KO	ArgonneLBMedia	peg.3118	rxn03901
Correct positive	Gene KO	ArgonneLBMedia	peg.3121	rxn01761		Correct positive	Gene KO	ArgonneLBMedia	peg.3121	rxn01761		Correct positive	Gene KO	ArgonneLBMedia	peg.3121	rxn01761
Correct positive	Gene KO	ArgonneLBMedia	peg.3123	"rxn01390,rxn02161"		Correct positive	Gene KO	ArgonneLBMedia	peg.3123	"rxn01390,rxn02161"		Correct positive	Gene KO	ArgonneLBMedia	peg.3123	"rxn01390,rxn02161"
Correct positive	Gene KO	ArgonneLBMedia	peg.3125	"rxn01053,rxn01621"		Correct positive	Gene KO	ArgonneLBMedia	peg.3125	"rxn01053,rxn01621"		Correct positive	Gene KO	ArgonneLBMedia	peg.3125	"rxn01053,rxn01621"
Correct positive	Gene KO	ArgonneLBMedia	peg.3132	"rxn00575,rxn00022"		Correct positive	Gene KO	ArgonneLBMedia	peg.3132	"rxn00575,rxn00022"		Correct positive	Gene KO	ArgonneLBMedia	peg.3132	"rxn00575,rxn00022"
Correct positive	Gene KO	ArgonneLBMedia	peg.3138	"rxn00558,rxn02380,rxn01977"		Correct positive	Gene KO	ArgonneLBMedia	peg.3138	"rxn00558,rxn02380,rxn01977"		Correct positive	Gene KO	ArgonneLBMedia	peg.3138	"rxn00558,rxn02380,rxn01977"
Correct positive	Gene KO	ArgonneLBMedia	peg.3139	rxn02527		Correct positive	Gene KO	ArgonneLBMedia	peg.3139	rxn02527		Correct positive	Gene KO	ArgonneLBMedia	peg.3139	rxn02527
Correct positive	Gene KO	ArgonneLBMedia	peg.3140	rxn02527		Correct positive	Gene KO	ArgonneLBMedia	peg.3140	rxn02527		Correct positive	Gene KO	ArgonneLBMedia	peg.3140	rxn02527
Correct positive	Gene KO	ArgonneLBMedia	peg.3143			Correct positive	Gene KO	ArgonneLBMedia	peg.3143			Correct positive	Gene KO	ArgonneLBMedia	peg.3143	
Correct positive	Gene KO	ArgonneLBMedia	peg.3145			Correct positive	Gene KO	ArgonneLBMedia	peg.3145			Correct positive	Gene KO	ArgonneLBMedia	peg.3145	
Correct positive	Gene KO	ArgonneLBMedia	peg.3157			Correct positive	Gene KO	ArgonneLBMedia	peg.3157			Correct positive	Gene KO	ArgonneLBMedia	peg.3157	
Correct positive	Gene KO	ArgonneLBMedia	peg.3158			Correct positive	Gene KO	ArgonneLBMedia	peg.3158			Correct positive	Gene KO	ArgonneLBMedia	peg.3158	
Correct positive	Gene KO	ArgonneLBMedia	peg.3159			Correct positive	Gene KO	ArgonneLBMedia	peg.3159			Correct positive	Gene KO	ArgonneLBMedia	peg.3159	
Correct positive	Gene KO	ArgonneLBMedia	peg.316	rxn01739		Correct positive	Gene KO	ArgonneLBMedia	peg.316	rxn01739		Correct positive	Gene KO	ArgonneLBMedia	peg.316	rxn01739
Correct positive	Gene KO	ArgonneLBMedia	peg.3160			Correct positive	Gene KO	ArgonneLBMedia	peg.3160			Correct positive	Gene KO	ArgonneLBMedia	peg.3160	
Correct positive	Gene KO	ArgonneLBMedia	peg.3161			Correct positive	Gene KO	ArgonneLBMedia	peg.3161			Correct positive	Gene KO	ArgonneLBMedia	peg.3161	
Correct positive	Gene KO	ArgonneLBMedia	peg.3167	rxn05209		Correct positive	Gene KO	ArgonneLBMedia	peg.3167	rxn05209		Correct positive	Gene KO	ArgonneLBMedia	peg.3167	rxn05209
Correct positive	Gene KO	ArgonneLBMedia	peg.3169	rxn05209		Correct positive	Gene KO	ArgonneLBMedia	peg.3169	rxn05209		Correct positive	Gene KO	ArgonneLBMedia	peg.3169	rxn05209
Correct positive	Gene KO	ArgonneLBMedia	peg.3179			Correct positive	Gene KO	ArgonneLBMedia	peg.3179			Correct positive	Gene KO	ArgonneLBMedia	peg.3179	
Correct positive	Gene KO	ArgonneLBMedia	peg.319	rxn02196		Correct positive	Gene KO	ArgonneLBMedia	peg.319	rxn02196		Correct positive	Gene KO	ArgonneLBMedia	peg.319	rxn02196
Correct positive	Gene KO	ArgonneLBMedia	peg.3196	rxn00278		Correct positive	Gene KO	ArgonneLBMedia	peg.3196	rxn00278		Correct positive	Gene KO	ArgonneLBMedia	peg.3196	rxn00278
Correct positive	Gene KO	ArgonneLBMedia	peg.3203			Correct positive	Gene KO	ArgonneLBMedia	peg.3203			Correct positive	Gene KO	ArgonneLBMedia	peg.3203	
Correct positive	Gene KO	ArgonneLBMedia	peg.3204	rxn01093		Correct positive	Gene KO	ArgonneLBMedia	peg.3204	rxn01093		Correct positive	Gene KO	ArgonneLBMedia	peg.3204	rxn01093
Correct positive	Gene KO	ArgonneLBMedia	peg.3205			Correct positive	Gene KO	ArgonneLBMedia	peg.3205			Correct positive	Gene KO	ArgonneLBMedia	peg.3205	
Correct positive	Gene KO	ArgonneLBMedia	peg.3206	rxn01094		Correct positive	Gene KO	ArgonneLBMedia	peg.3206	rxn01094		Correct positive	Gene KO	ArgonneLBMedia	peg.3206	rxn01094
Correct positive	Gene KO	ArgonneLBMedia	peg.3209			Correct positive	Gene KO	ArgonneLBMedia	peg.3209			Correct positive	Gene KO	ArgonneLBMedia	peg.3209	
Correct positive	Gene KO	ArgonneLBMedia	peg.321			Correct positive	Gene KO	ArgonneLBMedia	peg.321			Correct positive	Gene KO	ArgonneLBMedia	peg.321	
Correct positive	Gene KO	ArgonneLBMedia	peg.3216			Correct positive	Gene KO	ArgonneLBMedia	peg.3216			Correct positive	Gene KO	ArgonneLBMedia	peg.3216	
Correct positive	Gene KO	ArgonneLBMedia	peg.3219	rxn00837		Correct positive	Gene KO	ArgonneLBMedia	peg.3219	rxn00837		Correct positive	Gene KO	ArgonneLBMedia	peg.3219	rxn00837
Correct positive	Gene KO	ArgonneLBMedia	peg.322			Correct positive	Gene KO	ArgonneLBMedia	peg.322			Correct positive	Gene KO	ArgonneLBMedia	peg.322	
Correct positive	Gene KO	ArgonneLBMedia	peg.3224			Correct positive	Gene KO	ArgonneLBMedia	peg.3224			Correct positive	Gene KO	ArgonneLBMedia	peg.3224	
Correct positive	Gene KO	ArgonneLBMedia	peg.3226			Correct positive	Gene KO	ArgonneLBMedia	peg.3226			Correct positive	Gene KO	ArgonneLBMedia	peg.3226	
Correct positive	Gene KO	ArgonneLBMedia	peg.323			Correct positive	Gene KO	ArgonneLBMedia	peg.323			Correct positive	Gene KO	ArgonneLBMedia	peg.323	
Correct positive	Gene KO	ArgonneLBMedia	peg.3230	rxn01300		Correct positive	Gene KO	ArgonneLBMedia	peg.3230	rxn01300		Correct positive	Gene KO	ArgonneLBMedia	peg.3230	rxn01300
Correct positive	Gene KO	ArgonneLBMedia	peg.3231	rxn01069		Correct positive	Gene KO	ArgonneLBMedia	peg.3231	rxn01069		Correct positive	Gene KO	ArgonneLBMedia	peg.3231	rxn01069
Correct positive	Gene KO	ArgonneLBMedia	peg.3232	"rxn01302,rxn01301"		Correct positive	Gene KO	ArgonneLBMedia	peg.3232	"rxn01302,rxn01301"		Correct positive	Gene KO	ArgonneLBMedia	peg.3232	"rxn01302,rxn01301"
Correct positive	Gene KO	ArgonneLBMedia	peg.3243	"rxn00212,rxn09348,rxn09355,rxn09340,rxn09341"		Correct positive	Gene KO	ArgonneLBMedia	peg.3243	"rxn00212,rxn09348,rxn09355,rxn09340,rxn09341"		Correct positive	Gene KO	ArgonneLBMedia	peg.3243	"rxn00212,rxn09348,rxn09355,rxn09340,rxn09341"
Correct positive	Gene KO	ArgonneLBMedia	peg.3247	rxn01748		Correct positive	Gene KO	ArgonneLBMedia	peg.3247	rxn01748		Correct positive	Gene KO	ArgonneLBMedia	peg.3247	rxn01748
Correct positive	Gene KO	ArgonneLBMedia	peg.3249	rxn05636		Correct positive	Gene KO	ArgonneLBMedia	peg.3249	rxn05636		Correct positive	Gene KO	ArgonneLBMedia	peg.3249	rxn05636
Correct positive	Gene KO	ArgonneLBMedia	peg.3250	rxn05636		Correct positive	Gene KO	ArgonneLBMedia	peg.3250	rxn05636		Correct positive	Gene KO	ArgonneLBMedia	peg.3250	rxn05636
Correct positive	Gene KO	ArgonneLBMedia	peg.3251	rxn01523		Correct positive	Gene KO	ArgonneLBMedia	peg.3251	rxn01523		Correct positive	Gene KO	ArgonneLBMedia	peg.3251	rxn01523
Correct positive	Gene KO	ArgonneLBMedia	peg.3253	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3253	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3253	"rxn01297,rxn01522"
Correct positive	Gene KO	ArgonneLBMedia	peg.3254	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3254	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3254	"rxn01297,rxn01522"
Correct positive	Gene KO	ArgonneLBMedia	peg.3255	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3255	"rxn01297,rxn01522"		Correct positive	Gene KO	ArgonneLBMedia	peg.3255	"rxn01297,rxn01522"
Correct positive	Gene KO	ArgonneLBMedia	peg.3258	"rxn00272,rxn00422"		Correct positive	Gene KO	ArgonneLBMedia	peg.3258	"rxn00272,rxn00422"		Correct positive	Gene KO	ArgonneLBMedia	peg.3258	"rxn00272,rxn00422"
Correct positive	Gene KO	ArgonneLBMedia	peg.3259	"rxn01747,rxn03842"		Correct positive	Gene KO	ArgonneLBMedia	peg.3259	"rxn01747,rxn03842"		Correct positive	Gene KO	ArgonneLBMedia	peg.3259	"rxn01747,rxn03842"
Correct positive	Gene KO	ArgonneLBMedia	peg.3261			Correct positive	Gene KO	ArgonneLBMedia	peg.3261			Correct positive	Gene KO	ArgonneLBMedia	peg.3261	
Correct positive	Gene KO	ArgonneLBMedia	peg.3264			Correct positive	Gene KO	ArgonneLBMedia	peg.3264			Correct positive	Gene KO	ArgonneLBMedia	peg.3264	
Correct positive	Gene KO	ArgonneLBMedia	peg.3265			Correct positive	Gene KO	ArgonneLBMedia	peg.3265			Correct positive	Gene KO	ArgonneLBMedia	peg.3265	
Correct positive	Gene KO	ArgonneLBMedia	peg.3266			Correct positive	Gene KO	ArgonneLBMedia	peg.3266			Correct positive	Gene KO	ArgonneLBMedia	peg.3266	
Correct positive	Gene KO	ArgonneLBMedia	peg.3267	rxn11511		Correct positive	Gene KO	ArgonneLBMedia	peg.3267	rxn11511		Correct positive	Gene KO	ArgonneLBMedia	peg.3267	rxn11511
Correct positive	Gene KO	ArgonneLBMedia	peg.3271			Correct positive	Gene KO	ArgonneLBMedia	peg.3271			Correct positive	Gene KO	ArgonneLBMedia	peg.3271	
Correct positive	Gene KO	ArgonneLBMedia	peg.3278			Correct positive	Gene KO	ArgonneLBMedia	peg.3278			Correct positive	Gene KO	ArgonneLBMedia	peg.3278	
Correct positive	Gene KO	ArgonneLBMedia	peg.3279			Correct positive	Gene KO	ArgonneLBMedia	peg.3279			Correct positive	Gene KO	ArgonneLBMedia	peg.3279	
Correct positive	Gene KO	ArgonneLBMedia	peg.3280			Correct positive	Gene KO	ArgonneLBMedia	peg.3280			Correct positive	Gene KO	ArgonneLBMedia	peg.3280	
Correct positive	Gene KO	ArgonneLBMedia	peg.3285	rxn00908		Correct positive	Gene KO	ArgonneLBMedia	peg.3285	rxn00908		Correct positive	Gene KO	ArgonneLBMedia	peg.3285	rxn00908
Correct positive	Gene KO	ArgonneLBMedia	peg.3286			Correct positive	Gene KO	ArgonneLBMedia	peg.3286			Correct positive	Gene KO	ArgonneLBMedia	peg.3286	
Correct positive	Gene KO	ArgonneLBMedia	peg.3287			Correct positive	Gene KO	ArgonneLBMedia	peg.3287			Correct positive	Gene KO	ArgonneLBMedia	peg.3287	
Correct positive	Gene KO	ArgonneLBMedia	peg.3288			Correct positive	Gene KO	ArgonneLBMedia	peg.3288			Correct positive	Gene KO	ArgonneLBMedia	peg.3288	
Correct positive	Gene KO	ArgonneLBMedia	peg.3289	"rxn01451,rxn02933,rxn03239,rxn03246,rxn04750,rxn03242,rxn03244,rxn03249,rxn06777"		Correct positive	Gene KO	ArgonneLBMedia	peg.3289	"rxn01451,rxn02933,rxn03239,rxn03246,rxn04750,rxn03242,rxn03244,rxn03249,rxn06777"		Correct positive	Gene KO	ArgonneLBMedia	peg.3289	"rxn01451,rxn02933,rxn03239,rxn03246,rxn04750,rxn03242,rxn03244,rxn03249,rxn06777"
Correct positive	Gene KO	ArgonneLBMedia	peg.329			Correct positive	Gene KO	ArgonneLBMedia	peg.329			Correct positive	Gene KO	ArgonneLBMedia	peg.329	
Correct positive	Gene KO	ArgonneLBMedia	peg.3290	rxn09188		Correct positive	Gene KO	ArgonneLBMedia	peg.3290	rxn09188		Correct positive	Gene KO	ArgonneLBMedia	peg.3290	rxn09188
Correct positive	Gene KO	ArgonneLBMedia	peg.3299			Correct positive	Gene KO	ArgonneLBMedia	peg.3299			Correct positive	Gene KO	ArgonneLBMedia	peg.3299	
Correct positive	Gene KO	ArgonneLBMedia	peg.330	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.330	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.330	"rxn00569,rxn00568"
Correct positive	Gene KO	ArgonneLBMedia	peg.331	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.331	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.331	"rxn00569,rxn00568"
Correct positive	Gene KO	ArgonneLBMedia	peg.3310	rxn00799		Correct positive	Gene KO	ArgonneLBMedia	peg.3310	rxn00799		Correct positive	Gene KO	ArgonneLBMedia	peg.3310	rxn00799
Correct positive	Gene KO	ArgonneLBMedia	peg.332	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.332	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.332	"rxn00569,rxn00568"
Correct positive	Gene KO	ArgonneLBMedia	peg.3322	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3322	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3322	"rxn05187,rxn05515"
Correct positive	Gene KO	ArgonneLBMedia	peg.3323	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3323	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3323	"rxn05187,rxn05515"
Correct positive	Gene KO	ArgonneLBMedia	peg.3324	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3324	"rxn05187,rxn05515"		Correct positive	Gene KO	ArgonneLBMedia	peg.3324	"rxn05187,rxn05515"
Correct positive	Gene KO	ArgonneLBMedia	peg.3326	rxn01107		Correct positive	Gene KO	ArgonneLBMedia	peg.3326	rxn01107		Correct positive	Gene KO	ArgonneLBMedia	peg.3326	rxn01107
Correct positive	Gene KO	ArgonneLBMedia	peg.333	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.333	"rxn00569,rxn00568"		Correct positive	Gene KO	ArgonneLBMedia	peg.333	"rxn00569,rxn00568"
Correct positive	Gene KO	ArgonneLBMedia	peg.3330			Correct positive	Gene KO	ArgonneLBMedia	peg.3330			Correct positive	Gene KO	ArgonneLBMedia	peg.3330	
Correct positive	Gene KO	ArgonneLBMedia	peg.3336	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3336	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3336	"rxn05188,rxn05558"
Correct positive	Gene KO	ArgonneLBMedia	peg.3337	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3337	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3337	"rxn05188,rxn05558"
Correct positive	Gene KO	ArgonneLBMedia	peg.3338	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3338	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3338	"rxn05188,rxn05558"
Correct positive	Gene KO	ArgonneLBMedia	peg.3339	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3339	"rxn05188,rxn05558"		Correct positive	Gene KO	ArgonneLBMedia	peg.3339	"rxn05188,rxn05558"
Correct positive	Gene KO	ArgonneLBMedia	peg.334			Correct positive	Gene KO	ArgonneLBMedia	peg.334			Correct positive	Gene KO	ArgonneLBMedia	peg.334	
Correct positive	Gene KO	ArgonneLBMedia	peg.3340	rxn05628		Correct positive	Gene KO	ArgonneLBMedia	peg.3340	rxn05628		Correct positive	Gene KO	ArgonneLBMedia	peg.3340	rxn05628
Correct positive	Gene KO	ArgonneLBMedia	peg.3343	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3343	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3343	rxn05619
Correct positive	Gene KO	ArgonneLBMedia	peg.3344	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3344	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3344	rxn05619
Correct positive	Gene KO	ArgonneLBMedia	peg.3345	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3345	rxn05619		Correct positive	Gene KO	ArgonneLBMedia	peg.3345	rxn05619
Correct positive	Gene KO	ArgonneLBMedia	peg.3349	rxn00623		Correct positive	Gene KO	ArgonneLBMedia	peg.3349	rxn00623		Correct positive	Gene KO	ArgonneLBMedia	peg.3349	rxn00623
Correct positive	Gene KO	ArgonneLBMedia	peg.335			Correct positive	Gene KO	ArgonneLBMedia	peg.335			Correct positive	Gene KO	ArgonneLBMedia	peg.335	
Correct positive	Gene KO	ArgonneLBMedia	peg.3350	rxn00623		Correct positive	Gene KO	ArgonneLBMedia	peg.3350	rxn00623		Correct positive	Gene KO	ArgonneLBMedia	peg.3350	rxn00623
Correct positive	Gene KO	ArgonneLBMedia	peg.3355			Correct positive	Gene KO	ArgonneLBMedia	peg.3355			Correct positive	Gene KO	ArgonneLBMedia	peg.3355	
Correct positive	Gene KO	ArgonneLBMedia	peg.3356			Correct positive	Gene KO	ArgonneLBMedia	peg.3356			Correct positive	Gene KO	ArgonneLBMedia	peg.3356	
Correct positive	Gene KO	ArgonneLBMedia	peg.3376			Correct positive	Gene KO	ArgonneLBMedia	peg.3376			Correct positive	Gene KO	ArgonneLBMedia	peg.3376	
Correct positive	Gene KO	ArgonneLBMedia	peg.3377			Correct positive	Gene KO	ArgonneLBMedia	peg.3377			Correct positive	Gene KO	ArgonneLBMedia	peg.3377	
Correct positive	Gene KO	ArgonneLBMedia	peg.3378			Correct positive	Gene KO	ArgonneLBMedia	peg.3378			Correct positive	Gene KO	ArgonneLBMedia	peg.3378	
Correct positive	Gene KO	ArgonneLBMedia	peg.3379			Correct positive	Gene KO	ArgonneLBMedia	peg.3379			Correct positive	Gene KO	ArgonneLBMedia	peg.3379	
Correct positive	Gene KO	ArgonneLBMedia	peg.3386	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3386	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3386	"rxn05550,rxn05180"
Correct positive	Gene KO	ArgonneLBMedia	peg.3387	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3387	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3387	"rxn05550,rxn05180"
Correct positive	Gene KO	ArgonneLBMedia	peg.3388	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3388	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3388	"rxn05550,rxn05180"
Correct positive	Gene KO	ArgonneLBMedia	peg.3389	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3389	"rxn05550,rxn05180"		Correct positive	Gene KO	ArgonneLBMedia	peg.3389	"rxn05550,rxn05180"
Correct positive	Gene KO	ArgonneLBMedia	peg.3400	rxn00781		Correct positive	Gene KO	ArgonneLBMedia	peg.3400	rxn00781		Correct positive	Gene KO	ArgonneLBMedia	peg.3400	rxn00781
